
"QS419EW - Position in communal establishment"
"ONS Crown Copyright Reserved [from Nomis on 12 August 2018]"
"Population :","All usual residents in communal establishments"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All categories: Position in communal establishment","Resident","Staff or owner","Family member or partner of staff or owner"
"W1D  3",43,43,0,0
"W1D  4",4,4,0,0
"W1D  6",31,31,0,0
"W1D  7",1,1,0,0
"W1F  0",4,2,2,0
"W1F  7",0,0,0,0
"W1G  6",54,38,15,1
"W1G  7",0,0,0,0
"W1G  8",0,0,0,0
"W1G  9",6,6,0,0
"W1H  1",26,25,1,0
"W1H  2",0,0,0,0
"W1H  4",12,12,0,0
"W1H  5",166,166,0,0
"W1H  7",5,3,2,0
"W1J  5",2,1,1,0
"W1J  6",0,0,0,0
"W1J  7",0,0,0,0
"W1J  8",0,0,0,0
"W1K  1",2,2,0,0
"W1K  2",21,19,0,2
"W1K  3",0,0,0,0
"W1K  4",0,0,0,0
"W1K  5",0,0,0,0
"W1K  6",2,1,1,0
"W1K  7",0,0,0,0
"W1S  1",0,0,0,0
"W1T  1",0,0,0,0
"W1T  2",0,0,0,0
"W1T  3",0,0,0,0
"W1T  4",309,305,3,1
"W1T  5",474,474,0,0
"W1T  6",0,0,0,0
"W1U  1",8,1,7,0
"W1U  2",0,0,0,0
"W1U  3",1,1,0,0
"W1U  4",0,0,0,0
"W1U  5",135,134,0,1
"W1U  6",0,0,0,0
"W1U  8",4,0,4,0
"W1W  5",259,251,8,0
"W1W  6",318,315,3,0
"W1W  7",50,50,0,0
"W2   1",489,457,25,7
"W2   2",58,29,21,8
"W2   3",302,218,77,7
"W2   4",290,263,23,4
"W2   5",171,170,1,0
"W2   6",7,7,0,0
"W3   0",27,24,3,0
"W3   6",68,67,1,0
"W3   7",14,14,0,0
"W3   8",226,207,3,16
"W3   9",76,75,1,0
"W4   1",6,5,1,0
"W4   2",86,80,3,3
"W4   3",0,0,0,0
"W4   4",17,17,0,0
"W4   5",52,50,0,2
"W5   1",220,130,73,17
"W5   2",472,428,25,19
"W5   3",142,129,4,9
"W5   4",263,258,4,1
"W5   5",143,136,4,3
"W6   0",219,212,2,5
"W6   7",120,115,3,2
"W6   8",109,103,1,5
"W6   9",103,96,0,7
"W7   1",63,61,0,2
"W7   2",55,48,0,7
"W7   3",47,47,0,0
"W8   4",81,49,26,6
"W8   5",201,190,4,7
"W8   6",156,121,33,2
"W8   7",145,143,2,0
"W9   1",13,13,0,0
"W9   2",119,116,3,0
"W9   3",104,103,1,0
"WA1  1",19,14,2,3
"WA1  2",208,202,2,4
"WA1  3",15,15,0,0
"WA1  4",91,91,0,0
"WA10 1",0,0,0,0
"WA10 2",106,98,6,2
"WA10 3",51,51,0,0
"WA10 4",49,43,2,4
"WA10 5",57,42,0,15
"WA10 6",63,58,0,5
"WA11 0",64,62,1,1
"WA11 7",18,18,0,0
"WA11 8",45,41,0,4
"WA11 9",20,13,7,0
"WA12 0",0,0,0,0
"WA12 8",98,85,0,13
"WA12 9",24,18,2,4
"WA13 0",86,76,0,10
"WA13 9",3,0,3,0
"WA14 1",6,4,2,0
"WA14 2",128,116,3,9
"WA14 3",68,64,0,4
"WA14 4",173,159,4,10
"WA14 5",0,0,0,0
"WA15 0",12,3,0,9
"WA15 6",45,44,0,1
"WA15 7",37,27,6,4
"WA15 8",53,49,0,4
"WA15 9",0,0,0,0
"WA16 0",59,50,5,4
"WA16 6",58,40,18,0
"WA16 7",182,163,7,12
"WA16 8",48,33,3,12
"WA16 9",35,29,0,6
"WA2  0",316,311,4,1
"WA2  7",20,20,0,0
"WA2  8",170,166,0,4
"WA2  9",7,7,0,0
"WA3  1",33,33,0,0
"WA3  2",24,23,0,1
"WA3  3",37,31,0,6
"WA3  4",55,55,0,0
"WA3  5",0,0,0,0
"WA3  6",1079,1050,2,27
"WA3  7",44,44,0,0
"WA4  1",96,89,2,5
"WA4  2",156,139,3,14
"WA4  3",78,72,0,6
"WA4  4",301,295,0,6
"WA4  5",0,0,0,0
"WA4  6",19,19,0,0
"WA5  0",43,43,0,0
"WA5  1",45,40,4,1
"WA5  2",161,155,0,6
"WA5  3",103,95,0,8
"WA5  4",119,117,0,2
"WA5  7",0,0,0,0
"WA5  8",5,5,0,0
"WA5  9",161,146,0,15
"WA6  0",40,31,0,9
"WA6  6",60,58,1,1
"WA6  7",61,61,0,0
"WA6  8",25,25,0,0
"WA6  9",22,22,0,0
"WA7  1",43,42,1,0
"WA7  2",68,67,0,1
"WA7  3",4,4,0,0
"WA7  4",21,21,0,0
"WA7  5",176,174,0,2
"WA7  6",57,54,3,0
"WA8  0",38,38,0,0
"WA8  3",33,33,0,0
"WA8  4",30,30,0,0
"WA8  5",0,0,0,0
"WA8  6",90,90,0,0
"WA8  7",50,50,0,0
"WA8  8",205,189,16,0
"WA8  9",57,55,2,0
"WA9  1",238,197,12,29
"WA9  2",0,0,0,0
"WA9  3",42,42,0,0
"WA9  4",34,25,0,9
"WA9  5",120,115,1,4
"WC1A 1",0,0,0,0
"WC1A 2",0,0,0,0
"WC1B 3",163,142,21,0
"WC1B 4",24,5,19,0
"WC1E 6",413,406,7,0
"WC1E 7",145,144,1,0
"WC1H 0",420,408,11,1
"WC1H 8",60,54,0,6
"WC1H 9",1202,1183,14,5
"WC1N 1",572,545,4,23
"WC1N 2",156,150,6,0
"WC1N 3",21,20,1,0
"WC1R 4",1,1,0,0
"WC1V 6",0,0,0,0
"WC1V 7",356,353,3,0
"WC1X 0",375,374,1,0
"WC1X 8",0,0,0,0
"WC1X 9",732,732,0,0
"WC2B 4",126,123,2,1
"WC2B 5",67,66,1,0
"WC2E 7",73,73,0,0
"WC2E 9",0,0,0,0
"WC2H 0",0,0,0,0
"WC2H 7",0,0,0,0
"WC2H 8",0,0,0,0
"WC2H 9",29,28,1,0
"WC2N 4",41,41,0,0
"WC2N 5",207,194,13,0
"WC2N 6",0,0,0,0
"WD17 1",11,9,2,0
"WD17 2",43,41,2,0
"WD17 3",2,2,0,0
"WD17 4",248,225,7,16
"WD18 0",31,31,0,0
"WD18 6",101,100,0,1
"WD18 7",102,91,1,10
"WD18 8",0,0,0,0
"WD19 4",68,62,2,4
"WD19 5",22,15,3,4
"WD19 6",69,65,4,0
"WD19 7",1,1,0,0
"WD23 1",143,104,39,0
"WD23 2",231,202,23,6
"WD23 3",37,33,0,4
"WD23 4",43,31,0,12
"WD24 4",5,5,0,0
"WD24 5",67,58,0,9
"WD24 6",0,0,0,0
"WD24 7",0,0,0,0
"WD25 0",39,33,5,1
"WD25 7",47,43,0,4
"WD25 8",113,99,14,0
"WD25 9",15,14,1,0
"WD3  1",53,47,2,4
"WD3  3",30,30,0,0
"WD3  4",124,114,10,0
"WD3  5",174,164,6,4
"WD3  6",0,0,0,0
"WD3  7",91,69,1,21
"WD3  8",12,12,0,0
"WD3  9",0,0,0,0
"WD4  8",51,43,0,8
"WD4  9",0,0,0,0
"WD5  0",101,99,1,1
"WD6  1",142,130,6,6
"WD6  2",5,0,5,0
"WD6  3",246,158,72,16
"WD6  4",87,71,12,4
"WD6  5",42,40,0,2
"WD7  7",14,13,0,1
"WD7  8",1,0,1,0
"WD7  9",160,115,33,12
"WF1  1",7,4,2,1
"WF1  2",47,47,0,0
"WF1  3",249,244,0,5
"WF1  4",51,51,0,0
"WF1  5",31,25,2,4
"WF10 1",0,0,0,0
"WF10 2",148,137,4,7
"WF10 3",8,8,0,0
"WF10 4",88,70,10,8
"WF10 5",173,157,1,15
"WF11 0",17,16,0,1
"WF11 8",43,39,2,2
"WF11 9",63,56,1,6
"WF12 0",43,43,0,0
"WF12 7",77,67,0,10
"WF12 8",0,0,0,0
"WF12 9",198,198,0,0
"WF13 1",0,0,0,0
"WF13 2",216,199,6,11
"WF13 3",40,40,0,0
"WF13 4",63,60,3,0
"WF14 0",71,62,4,5
"WF14 8",74,74,0,0
"WF14 9",46,41,1,4
"WF15 6",59,54,0,5
"WF15 7",2,2,0,0
"WF15 8",45,44,0,1
"WF16 0",58,55,0,3
"WF16 9",69,68,0,1
"WF17 0",76,75,1,0
"WF17 5",2,2,0,0
"WF17 6",62,50,0,12
"WF17 7",46,44,0,2
"WF17 8",0,0,0,0
"WF17 9",46,43,0,3
"WF2  0",121,121,0,0
"WF2  6",42,42,0,0
"WF2  7",49,28,2,19
"WF2  8",57,56,1,0
"WF2  9",803,798,1,4
"WF3  1",10,10,0,0
"WF3  2",43,43,0,0
"WF3  3",202,193,0,9
"WF3  4",5,5,0,0
"WF4  1",0,0,0,0
"WF4  2",27,19,1,7
"WF4  3",78,61,16,1
"WF4  4",315,306,0,9
"WF4  5",62,58,0,4
"WF4  6",10,9,0,1
"WF5  0",18,18,0,0
"WF5  8",1,0,1,0
"WF5  9",63,57,2,4
"WF6  1",70,58,2,10
"WF6  2",86,86,0,0
"WF7  5",12,12,0,0
"WF7  6",128,124,3,1
"WF7  7",96,92,4,0
"WF8  1",83,83,0,0
"WF8  2",99,96,0,3
"WF8  3",32,26,6,0
"WF8  4",10,3,2,5
"WF9  1",14,14,0,0
"WF9  2",70,64,0,6
"WF9  3",64,59,5,0
"WF9  4",23,22,1,0
"WF9  5",110,110,0,0
"WN1  1",2,1,1,0
"WN1  2",115,89,2,24
"WN1  3",88,80,2,6
"WN2  1",21,21,0,0
"WN2  2",40,40,0,0
"WN2  3",139,136,0,3
"WN2  4",68,68,0,0
"WN2  5",292,273,0,19
"WN3  4",0,0,0,0
"WN3  5",37,29,0,8
"WN3  6",43,43,0,0
"WN4  0",12,11,1,0
"WN4  8",90,77,1,12
"WN4  9",62,62,0,0
"WN5  0",66,65,0,1
"WN5  7",73,73,0,0
"WN5  8",46,43,0,3
"WN5  9",184,184,0,0
"WN6  0",84,72,0,12
"WN6  7",72,58,9,5
"WN6  8",0,0,0,0
"WN6  9",34,30,4,0
"WN7  1",21,17,1,3
"WN7  2",215,205,0,10
"WN7  3",0,0,0,0
"WN7  4",33,27,0,6
"WN7  5",77,74,2,1
"WN8  0",76,70,0,6
"WN8  6",132,106,11,15
"WN8  7",77,72,1,4
"WN8  8",101,95,4,2
"WN8  9",17,15,2,0
"WR1  1",127,121,5,1
"WR1  2",58,54,2,2
"WR1  3",163,163,0,0
"WR10 1",64,59,1,4
"WR10 2",55,55,0,0
"WR10 3",108,102,0,6
"WR11 1",55,53,2,0
"WR11 2",10,10,0,0
"WR11 3",28,27,1,0
"WR11 4",61,48,9,4
"WR11 7",61,37,19,5
"WR11 8",497,473,16,8
"WR12 7",65,46,13,6
"WR13 5",39,30,1,8
"WR13 6",190,163,19,8
"WR14 1",90,89,0,1
"WR14 2",109,93,9,7
"WR14 3",873,860,6,7
"WR14 4",255,242,1,12
"WR15 8",136,128,5,3
"WR2  4",122,109,1,12
"WR2  5",159,135,1,23
"WR2  6",827,811,7,9
"WR3  7",152,130,13,9
"WR3  8",27,27,0,0
"WR4  0",0,0,0,0
"WR4  9",53,51,2,0
"WR5  1",175,167,5,3
"WR5  2",156,151,0,5
"WR5  3",65,65,0,0
"WR6  5",12,2,8,2
"WR6  6",113,93,15,5
"WR7  4",38,30,2,6
"WR8  0",154,127,16,11
"WR8  9",96,84,4,8
"WR9  0",54,39,11,4
"WR9  7",79,72,2,5
"WR9  8",149,139,0,10
"WR9  9",38,8,30,0
"WS1  1",0,0,0,0
"WS1  2",76,75,1,0
"WS1  3",455,451,0,4
"WS1  4",36,36,0,0
"WS10 0",0,0,0,0
"WS10 7",97,88,0,9
"WS10 8",95,95,0,0
"WS10 9",154,142,0,12
"WS11 0",83,73,9,1
"WS11 1",3,2,1,0
"WS11 4",21,21,0,0
"WS11 5",31,31,0,0
"WS11 6",0,0,0,0
"WS11 7",114,97,0,17
"WS11 8",3,0,3,0
"WS11 9",6,6,0,0
"WS12 0",38,38,0,0
"WS12 1",18,10,0,8
"WS12 2",91,80,5,6
"WS12 3",49,47,0,2
"WS12 4",42,41,0,1
"WS13 6",194,193,0,1
"WS13 7",27,23,2,2
"WS13 8",108,58,9,41
"WS14 0",131,109,2,20
"WS14 9",663,645,3,15
"WS15 1",30,30,0,0
"WS15 2",183,164,4,15
"WS15 3",100,94,6,0
"WS15 4",112,111,1,0
"WS2  0",51,51,0,0
"WS2  7",68,64,0,4
"WS2  8",25,23,1,1
"WS2  9",81,69,12,0
"WS3  1",55,48,0,7
"WS3  2",51,51,0,0
"WS3  3",214,210,2,2
"WS3  4",39,39,0,0
"WS3  5",0,0,0,0
"WS4  1",83,80,0,3
"WS4  2",30,30,0,0
"WS5  3",0,0,0,0
"WS5  4",66,63,1,2
"WS6  6",281,275,2,4
"WS6  7",0,0,0,0
"WS7  0",58,53,0,5
"WS7  1",54,36,0,18
"WS7  2",9,9,0,0
"WS7  3",73,62,0,11
"WS7  4",18,18,0,0
"WS7  9",69,69,0,0
"WS8  6",86,81,5,0
"WS8  7",61,56,0,5
"WS9  0",64,64,0,0
"WS9  8",7,7,0,0
"WS9  9",68,68,0,0
"WV1  1",1455,1448,0,7
"WV1  2",60,48,12,0
"WV1  3",0,0,0,0
"WV1  4",67,61,1,5
"WV10 0",0,0,0,0
"WV10 6",47,47,0,0
"WV10 7",816,786,6,24
"WV10 8",71,66,0,5
"WV10 9",113,113,0,0
"WV11 1",151,150,0,1
"WV11 2",27,25,1,1
"WV11 3",58,58,0,0
"WV12 4",0,0,0,0
"WV12 5",54,53,1,0
"WV13 1",34,26,0,8
"WV13 2",60,57,0,3
"WV13 3",0,0,0,0
"WV14 0",82,79,3,0
"WV14 6",55,55,0,0
"WV14 7",0,0,0,0
"WV14 8",17,17,0,0
"WV14 9",131,115,7,9
"WV15 5",88,87,0,1
"WV15 6",97,82,11,4
"WV16 4",69,67,2,0
"WV16 5",45,43,0,2
"WV16 6",86,81,1,4
"WV2  1",21,21,0,0
"WV2  2",9,9,0,0
"WV2  3",141,135,2,4
"WV2  4",197,181,9,7
"WV3  0",150,138,3,9
"WV3  7",56,54,0,2
"WV3  8",0,0,0,0
"WV3  9",323,286,1,36
"WV4  4",162,156,0,6
"WV4  5",212,204,1,7
"WV4  6",25,25,0,0
"WV5  0",19,19,0,0
"WV5  7",41,41,0,0
"WV5  8",0,0,0,0
"WV5  9",0,0,0,0
"WV6  0",135,124,3,8
"WV6  7",55,41,4,10
"WV6  8",216,197,7,12
"WV6  9",82,76,0,6
"WV7  3",758,695,43,20
"WV8  1",51,45,0,6
"WV8  2",122,111,2,9
"WV9  5",29,29,0,0
"YO1  6",15,15,0,0
"YO1  7",10,7,0,3
"YO1  9",419,415,2,2
"YO10 3",80,67,0,13
"YO10 4",483,445,23,15
"YO10 5",3927,3909,13,5
"YO11 1",103,76,17,10
"YO11 2",682,579,67,36
"YO11 3",239,237,0,2
"YO12 4",156,155,0,1
"YO12 5",152,141,2,9
"YO12 6",114,82,9,23
"YO12 7",266,62,113,91
"YO13 0",53,0,40,13
"YO13 9",28,24,3,1
"YO14 0",2,0,1,1
"YO14 9",3,2,0,1
"YO15 1",16,10,0,6
"YO15 2",358,263,63,32
"YO15 3",298,202,55,41
"YO16 4",173,158,8,7
"YO16 6",55,53,1,1
"YO16 7",58,58,0,0
"YO17 6",22,11,10,1
"YO17 7",107,96,5,6
"YO17 8",59,54,0,5
"YO17 9",64,45,2,17
"YO18 7",101,98,0,3
"YO18 8",44,25,11,8
"YO19 4",17,17,0,0
"YO19 5",54,44,0,10
"YO19 6",310,296,13,1
"YO21 1",45,3,24,18
"YO21 2",13,0,6,7
"YO21 3",261,133,105,23
"YO22 4",218,184,29,5
"YO22 5",24,11,9,4
"YO23 1",31,16,11,4
"YO23 2",11,7,0,4
"YO23 3",311,307,2,2
"YO23 7",0,0,0,0
"YO24 1",162,135,18,9
"YO24 2",1,1,0,0
"YO24 3",72,49,0,23
"YO24 4",144,124,9,11
"YO25 3",16,15,1,0
"YO25 4",14,14,0,0
"YO25 5",156,108,47,1
"YO25 6",51,49,0,2
"YO25 8",24,21,1,2
"YO25 9",50,46,1,3
"YO26 4",0,0,0,0
"YO26 5",101,91,0,10
"YO26 6",21,19,0,2
"YO26 7",0,0,0,0
"YO26 8",95,92,1,2
"YO26 9",579,546,32,1
"YO30 1",46,46,0,0
"YO30 2",165,157,4,4
"YO30 4",0,0,0,0
"YO30 5",135,127,3,5
"YO30 6",188,163,15,10
"YO30 7",152,101,35,16
"YO31 0",17,15,0,2
"YO31 1",11,5,1,5
"YO31 7",273,264,8,1
"YO31 8",506,489,13,4
"YO31 9",7,7,0,0
"YO32 2",98,87,0,11
"YO32 3",57,50,0,7
"YO32 4",70,64,1,5
"YO32 5",151,141,4,6
"YO32 9",74,69,1,4
"YO41 1",680,677,2,1
"YO41 4",0,0,0,0
"YO41 5",18,17,0,1
"YO42 1",16,14,2,0
"YO42 2",176,166,7,3
"YO42 4",13,11,1,1
"YO43 3",58,56,2,0
"YO43 4",39,37,2,0
"YO51 9",98,85,9,4
"YO60 6",8,6,1,1
"YO60 7",0,0,0,0
"YO61 1",62,57,2,3
"YO61 2",39,39,0,0
"YO61 3",22,18,2,2
"YO61 4",34,22,8,4
"YO62 4",648,596,35,17
"YO62 5",12,0,10,2
"YO62 6",14,0,10,4
"YO62 7",28,21,4,3
"YO7  1",101,90,9,2
"YO7  2",5,5,0,0
"YO7  3",523,513,8,2
"YO7  4",11,5,6,0
"YO8  3",40,33,0,7
"YO8  4",112,110,0,2
"YO8  5",31,23,2,6
"YO8  6",0,0,0,0
"YO8  8",103,84,6,13
"YO8  9",57,53,1,3
"CF10 1",1,1,0,0
"CF10 2",0,0,0,0
"CF10 3",963,954,3,6
"CF10 4",0,0,0,0
"CF10 5",188,175,0,13
"CF11 0",0,0,0,0
"CF11 6",321,317,4,0
"CF11 7",48,48,0,0
"CF11 8",0,0,0,0
"CF11 9",260,237,6,17
"CF14 0",0,0,0,0
"CF14 1",244,242,2,0
"CF14 2",85,79,6,0
"CF14 3",2838,2816,17,5
"CF14 4",8,8,0,0
"CF14 5",180,172,0,8
"CF14 6",0,0,0,0
"CF14 7",30,30,0,0
"CF14 9",0,0,0,0
"CF15 7",78,65,0,13
"CF15 8",38,32,2,4
"CF15 9",19,16,2,1
"CF23 5",780,767,1,12
"CF23 6",779,773,1,5
"CF23 7",108,101,0,7
"CF23 8",0,0,0,0
"CF23 9",0,0,0,0
"CF24 0",1678,1602,15,61
"CF24 1",247,237,0,10
"CF24 2",51,47,2,2
"CF24 3",171,169,0,2
"CF24 4",1396,1384,2,10
"CF24 5",0,0,0,0
"CF3  0",80,66,0,14
"CF3  1",91,89,2,0
"CF3  2",39,22,2,15
"CF3  3",50,44,1,5
"CF3  4",27,26,1,0
"CF3  5",0,0,0,0
"CF3  6",0,0,0,0
"CF31 1",64,61,2,1
"CF31 2",41,41,0,0
"CF31 3",111,110,0,1
"CF31 4",148,131,17,0
"CF31 5",0,0,0,0
"CF32 0",0,0,0,0
"CF32 7",0,0,0,0
"CF32 8",0,0,0,0
"CF32 9",49,45,0,4
"CF33 4",67,62,1,4
"CF33 6",14,14,0,0
"CF34 0",2,2,0,0
"CF34 9",1,0,0,1
"CF35 5",118,97,18,3
"CF35 6",1378,1324,2,52
"CF36 3",208,192,5,11
"CF36 5",135,102,3,30
"CF37 1",847,837,3,7
"CF37 2",25,22,3,0
"CF37 3",0,0,0,0
"CF37 4",73,63,0,10
"CF37 5",31,31,0,0
"CF38 1",60,57,0,3
"CF38 2",17,16,0,1
"CF39 0",93,93,0,0
"CF39 8",152,152,0,0
"CF39 9",32,32,0,0
"CF40 1",51,39,0,12
"CF40 2",102,98,0,4
"CF41 7",154,143,3,8
"CF42 5",48,46,1,1
"CF42 6",113,109,0,4
"CF43 3",10,7,0,3
"CF43 4",38,35,2,1
"CF44 0",46,46,0,0
"CF44 6",67,62,0,5
"CF44 7",46,45,0,1
"CF44 8",191,183,4,4
"CF44 9",11,11,0,0
"CF45 3",103,97,0,6
"CF45 4",38,16,22,0
"CF46 5",43,36,1,6
"CF46 6",66,49,14,3
"CF47 0",59,56,1,2
"CF47 8",55,45,3,7
"CF47 9",34,32,1,1
"CF48 1",54,48,4,2
"CF48 2",47,46,0,1
"CF48 3",24,22,2,0
"CF48 4",141,113,2,26
"CF5  1",144,126,0,18
"CF5  2",442,436,1,5
"CF5  3",7,7,0,0
"CF5  4",133,131,0,2
"CF5  5",98,77,4,17
"CF5  6",61,56,1,4
"CF61 1",339,339,0,0
"CF61 2",1,1,0,0
"CF62 3",6,0,3,3
"CF62 4",720,699,7,14
"CF62 5",44,44,0,0
"CF62 6",72,64,4,4
"CF62 7",16,14,1,1
"CF62 8",231,223,0,8
"CF62 9",7,7,0,0
"CF63 1",36,36,0,0
"CF63 2",8,7,1,0
"CF63 3",0,0,0,0
"CF63 4",8,8,0,0
"CF64 1",38,37,1,0
"CF64 2",122,97,7,18
"CF64 3",91,81,0,10
"CF64 4",48,44,0,4
"CF64 5",200,198,0,2
"CF71 7",63,53,2,8
"CF72 8",86,76,7,3
"CF72 9",13,12,1,0
"CF81 8",59,58,0,1
"CF81 9",56,46,0,10
"CF82 6",0,0,0,0
"CF82 7",95,92,2,1
"CF82 8",7,7,0,0
"CF83 1",74,68,2,4
"CF83 2",53,48,1,4
"CF83 3",3,3,0,0
"CF83 4",21,14,0,7
"CF83 8",46,31,0,15
"LD1  5",83,57,16,10
"LD1  6",48,23,20,5
"LD2  3",53,48,3,2
"LD3  0",87,46,34,7
"LD3  7",155,112,33,10
"LD3  8",321,292,18,11
"LD3  9",1,0,1,0
"LD4  4",3,0,3,0
"LD5  4",27,10,14,3
"LD6  5",87,79,7,1
"LD7  1",49,21,20,8
"LD8  2",41,32,7,2
"LL11 1",80,80,0,0
"LL11 2",301,292,2,7
"LL11 3",55,51,3,1
"LL11 4",258,253,0,5
"LL11 5",74,60,14,0
"LL11 6",35,35,0,0
"LL12 0",62,60,0,2
"LL12 7",10,10,0,0
"LL12 8",102,100,0,2
"LL12 9",117,117,0,0
"LL13 0",13,3,6,4
"LL13 7",185,177,3,5
"LL13 8",55,55,0,0
"LL13 9",96,75,3,18
"LL14 1",7,5,0,2
"LL14 2",86,79,1,6
"LL14 3",59,51,0,8
"LL14 4",36,26,0,10
"LL14 5",29,16,7,6
"LL14 6",29,28,1,0
"LL15 1",209,182,5,22
"LL15 2",4,4,0,0
"LL16 3",224,212,2,10
"LL16 4",132,125,5,2
"LL16 5",52,51,1,0
"LL17 0",166,148,7,11
"LL18 1",9,7,2,0
"LL18 2",2,2,0,0
"LL18 3",64,61,0,3
"LL18 4",0,0,0,0
"LL18 5",80,78,2,0
"LL18 6",11,11,0,0
"LL19 7",11,8,0,3
"LL19 8",16,16,0,0
"LL19 9",58,50,2,6
"LL20 7",77,55,8,14
"LL20 8",94,65,22,7
"LL21 0",8,8,0,0
"LL21 9",48,48,0,0
"LL22 7",97,87,3,7
"LL22 8",48,39,1,8
"LL22 9",103,93,9,1
"LL23 7",40,21,14,5
"LL24 0",63,23,24,16
"LL25 0",0,0,0,0
"LL26 0",65,49,9,7
"LL27 0",1,0,1,0
"LL28 4",394,321,33,40
"LL28 5",69,61,5,3
"LL29 6",0,0,0,0
"LL29 7",283,246,21,16
"LL29 8",199,189,5,5
"LL29 9",56,34,20,2
"LL30 1",279,174,71,34
"LL30 2",517,190,201,126
"LL30 3",39,33,6,0
"LL31 9",212,197,8,7
"LL32 8",30,6,17,7
"LL33 0",124,113,1,10
"LL34 6",43,33,3,7
"LL35 0",7,1,2,4
"LL36 0",55,43,2,10
"LL36 9",58,37,10,11
"LL37 2",0,0,0,0
"LL38 2",4,2,2,0
"LL39 1",18,4,8,6
"LL40 1",83,63,11,9
"LL40 2",35,30,2,3
"LL41 3",7,3,3,1
"LL41 4",30,21,6,3
"LL42 1",52,20,22,10
"LL43 2",9,1,4,4
"LL44 2",16,4,8,4
"LL45 2",13,8,3,2
"LL46 2",71,60,7,4
"LL47 6",3,2,1,0
"LL48 6",23,5,13,5
"LL49 9",104,73,24,7
"LL51 9",0,0,0,0
"LL52 0",69,47,12,10
"LL53 5",40,39,0,1
"LL53 6",17,13,1,3
"LL53 7",24,17,5,2
"LL53 8",0,0,0,0
"LL54 5",4,1,3,0
"LL54 6",23,16,6,1
"LL54 7",20,17,3,0
"LL55 1",85,75,3,7
"LL55 2",52,52,0,0
"LL55 3",14,9,4,1
"LL55 4",103,48,33,22
"LL56 4",72,50,8,14
"LL57 1",374,368,6,0
"LL57 2",2326,2319,4,3
"LL57 3",23,21,0,2
"LL57 4",16,14,1,1
"LL58 8",39,38,1,0
"LL59 5",39,35,4,0
"LL60 6",0,0,0,0
"LL61 5",128,118,5,5
"LL61 6",53,48,0,5
"LL62 5",38,38,0,0
"LL63 5",0,0,0,0
"LL64 5",16,12,0,4
"LL65 1",56,51,0,5
"LL65 2",78,63,8,7
"LL65 3",173,168,0,5
"LL65 4",18,9,9,0
"LL67 0",0,0,0,0
"LL68 0",2,2,0,0
"LL68 9",56,37,17,2
"LL69 9",0,0,0,0
"LL70 9",0,0,0,0
"LL71 7",4,3,1,0
"LL71 8",0,0,0,0
"LL72 8",0,0,0,0
"LL73 8",0,0,0,0
"LL74 8",7,7,0,0
"LL75 8",62,62,0,0
"LL76 8",8,8,0,0
"LL77 7",33,30,3,0
"LL78 8",0,0,0,0
"NP10 0",0,0,0,0
"NP10 8",4,4,0,0
"NP10 9",54,54,0,0
"NP11 3",38,29,3,6
"NP11 4",78,76,2,0
"NP11 5",31,29,0,2
"NP11 6",7,7,0,0
"NP11 7",113,110,1,2
"NP12 0",58,55,1,2
"NP12 1",69,49,1,19
"NP12 2",59,37,6,16
"NP12 3",45,43,2,0
"NP13 1",90,79,0,11
"NP13 2",0,0,0,0
"NP13 3",27,27,0,0
"NP15 1",403,386,5,12
"NP15 2",82,81,0,1
"NP16 5",126,105,4,17
"NP16 6",46,44,1,1
"NP16 7",267,261,5,1
"NP18 1",108,99,3,6
"NP18 2",58,58,0,0
"NP18 3",657,653,2,2
"NP19 0",70,68,1,1
"NP19 4",0,0,0,0
"NP19 7",7,5,2,0
"NP19 8",61,51,3,7
"NP19 9",63,63,0,0
"NP20 1",4,4,0,0
"NP20 2",46,42,0,4
"NP20 3",66,66,0,0
"NP20 4",242,211,5,26
"NP20 5",62,60,0,2
"NP20 6",72,71,0,1
"NP20 7",50,49,0,1
"NP22 3",96,84,0,12
"NP22 4",9,9,0,0
"NP22 5",35,34,1,0
"NP23 4",134,131,1,2
"NP23 5",101,98,1,2
"NP23 6",81,65,2,14
"NP23 7",5,5,0,0
"NP23 8",20,20,0,0
"NP24 6",61,41,6,14
"NP25 3",331,312,10,9
"NP25 4",95,56,11,28
"NP25 5",116,9,2,105
"NP26 3",17,11,3,3
"NP26 4",41,35,0,6
"NP26 5",42,34,2,6
"NP4  0",46,43,2,1
"NP4  5",101,90,0,11
"NP4  6",87,81,0,6
"NP4  7",80,76,0,4
"NP4  8",46,40,4,2
"NP4  9",29,22,0,7
"NP44 1",36,35,0,1
"NP44 2",0,0,0,0
"NP44 3",134,116,2,16
"NP44 4",0,0,0,0
"NP44 5",30,30,0,0
"NP44 6",76,68,0,8
"NP44 7",27,20,0,7
"NP44 8",47,45,0,2
"NP7  0",86,82,1,3
"NP7  5",57,38,11,8
"NP7  6",5,5,0,0
"NP7  7",103,95,3,5
"NP7  8",15,15,0,0
"NP7  9",49,35,7,7
"NP8  1",66,47,7,12
"SA1  1",33,30,0,3
"SA1  2",46,42,0,4
"SA1  3",243,226,3,14
"SA1  4",132,127,4,1
"SA1  5",36,36,0,0
"SA1  6",139,137,2,0
"SA1  7",24,20,1,3
"SA1  8",0,0,0,0
"SA10 6",153,144,5,4
"SA10 7",83,81,1,1
"SA10 8",7,4,3,0
