
"KS402EW - Tenure"
"ONS Crown Copyright Reserved [from Nomis on 25 July 2018]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All households","Owned: Owned outright","Owned: Owned with a mortgage or loan","Social rented: Rented from council (Local Authority)","Social rented: Other","Private rented: Private landlord or letting agency","Private rented: Other"
"B30  2",4840,1222,1945,328,371,784,110
"B30  3",3242,715,1220,336,165,617,41
"B31  1",4765,1065,1440,1062,466,396,35
"B31  2",5213,1562,1587,533,705,645,43
"B31  3",4857,1279,1602,894,391,447,44
"B31  4",4363,1268,1401,877,270,381,46
"B31  5",3779,1003,1492,569,202,358,43
"B32  1",3846,1299,1370,668,49,364,35
"B32  2",5065,1206,1359,1478,190,613,48
"B32  3",5123,1172,1462,1772,114,409,44
"B32  4",2279,495,616,761,176,159,11
"B33  0",4585,1010,1257,1428,262,456,47
"B33  8",4556,1094,1222,1068,405,635,45
"B33  9",4600,816,1461,1316,253,566,57
"B34  6",4598,1310,1226,1047,348,406,32
"B34  7",3588,762,978,1142,253,236,35
"B35  6",1943,380,471,81,865,104,11
"B35  7",2304,342,375,126,1296,104,10
"B36  0",5262,1706,1611,1291,309,261,24
"B36  8",4467,1088,1368,1238,135,466,35
"B36  9",3982,1446,1401,444,333,251,34
"B37  5",4400,864,1186,1737,207,308,42
"B37  6",5035,1112,1361,1935,185,352,22
"B37  7",5865,1469,1867,1499,402,481,35
"B38  0",787,285,270,126,38,49,7
"B38  8",3914,1337,1350,697,147,262,36
"B38  9",4300,705,1127,1821,194,314,29
"B4   6",192,9,23,7,4,142,5
"B4   7",428,17,15,17,118,215,30
"B42  1",4175,1498,1628,159,71,689,58
"B42  2",5148,1620,2237,199,190,774,65
"B43  5",4502,1837,1536,513,77,446,39
"B43  6",2659,1266,1005,62,39,226,20
"B43  7",4478,2071,1850,81,102,294,24
"B44  0",5949,1055,1763,2047,168,722,57
"B44  8",4148,1634,1690,89,82,543,51
"B44  9",4880,1450,1788,765,177,547,63
"B45  0",3140,426,912,1469,47,176,14
"B45  8",4401,1642,1756,368,124,405,43
"B45  9",5232,1798,1996,547,288,452,42
"B46  1",3073,1149,1323,124,87,302,34
"B46  2",877,337,313,42,20,132,12
"B46  3",1202,426,405,133,43,153,18
"B47  5",2842,1291,1024,119,231,122,23
"B47  6",1174,607,462,6,7,63,6
"B48  7",2391,1030,890,72,139,179,30
"B49  5",2003,787,607,15,172,337,36
"B49  6",2485,984,792,52,414,155,28
"B5   4",1332,72,143,12,61,978,24
"B5   5",167,13,18,12,2,113,6
"B5   6",135,4,4,2,5,116,2
"B5   7",3392,541,523,837,590,735,41
"B50  4",2171,768,887,26,208,195,16
"B6   4",370,35,75,132,71,41,3
"B6   5",1497,203,275,656,156,134,8
"B6   6",3025,899,678,176,547,581,41
"B6   7",1042,187,259,289,63,214,3
"B60  1",3245,1417,1313,55,167,234,19
"B60  2",3203,1319,1420,38,136,252,9
"B60  3",3787,919,1468,306,587,371,34
"B60  4",1445,581,507,30,127,147,13
"B61  0",4120,1356,1684,168,434,347,43
"B61  7",1999,713,843,59,132,202,26
"B61  8",2562,823,846,156,438,231,29
"B61  9",1020,473,385,11,22,88,13
"B62  0",2628,1298,920,171,55,111,25
"B62  8",3333,1304,1336,291,57,274,16
"B62  9",4245,1776,1523,277,183,386,45
"B63  1",2447,1194,940,86,92,87,12
"B63  2",5042,1452,1878,842,121,596,48
"B63  3",3433,1336,1258,219,215,312,33
"B63  4",4605,1557,1415,962,114,423,36
"B64  5",1661,437,574,316,113,157,16
"B64  6",3001,600,786,778,182,517,34
"B64  7",2302,747,745,526,37,181,13
"B65  0",2574,625,783,507,244,320,33
"B65  8",3038,926,1118,641,62,189,37
"B65  9",4183,1154,1349,1159,72,312,29
"B66  1",1070,191,316,223,104,185,15
"B66  2",514,92,103,57,122,109,10
"B66  3",2606,320,432,1095,313,310,24
"B66  4",3146,726,819,231,338,898,32
"B67  5",4214,1219,1560,410,29,889,40
"B67  6",3991,949,1167,1104,102,523,29
"B67  7",3437,987,864,465,336,606,63
"B68  0",3897,1384,1343,545,110,364,41
"B68  8",3951,1220,1302,629,172,487,37
"B68  9",4419,1338,1493,1024,45,379,38
"B69  1",5923,1552,1910,1759,121,411,43
"B69  2",2034,530,742,213,103,394,17
"B69  3",1364,370,548,135,86,183,12
"B69  4",2146,479,671,304,117,484,32
"B7   4",1485,75,79,906,258,92,2
"B7   5",1958,182,248,974,346,130,21
"B70  0",2638,666,731,712,162,277,23
"B70  6",2735,663,469,660,422,388,33
"B70  7",1253,283,258,355,175,120,11
"B70  8",1257,419,304,196,75,213,16
"B70  9",2812,615,597,917,166,374,33
"B71  1",3228,722,905,876,201,411,25
"B71  2",4000,975,1092,1240,214,351,21
"B71  3",3695,1293,1056,793,32,416,25
"B71  4",1589,470,442,354,41,198,31
"B72  1",3902,1661,1529,141,23,460,36
"B73  5",5657,2020,2183,354,163,769,56
"B73  6",3947,1756,1513,30,151,437,25
"B74  2",4074,1886,1581,37,116,394,22
"B74  3",4597,2434,1790,15,34,243,39
"B74  4",4797,2165,1781,156,219,386,34
"B75  5",3309,1238,1449,200,53,295,29
"B75  6",3635,1880,1344,104,65,190,18
"B75  7",4037,1150,1504,749,110,389,44
"B76  0",153,59,67,4,1,15,4
"B76  1",4920,2195,2111,48,79,392,35
"B76  2",2801,820,1200,32,428,238,8
"B76  9",1310,440,506,87,55,170,33
"B77  1",4334,1418,1983,316,90,426,54
"B77  2",5724,1345,2360,815,540,512,61
"B77  3",3669,1236,1440,508,73,331,33
"B77  4",5613,1153,2473,1088,384,427,39
"B77  5",3533,912,1737,354,101,341,32
"B78  1",4092,1378,1615,425,177,400,39
"B78  2",1815,693,727,179,61,106,14
"B78  3",4075,1266,1513,231,491,453,51
"B79  0",1247,451,485,104,29,134,26
"B79  7",3029,847,834,435,207,594,52
"B79  8",4477,1608,1435,790,168,362,36
"B79  9",887,367,346,10,74,64,10
"B8   1",2770,798,566,314,454,487,47
"B8   2",4768,1251,1374,830,323,804,59
"B8   3",4347,1188,1058,534,624,767,49
"B80  7",2983,1114,1028,47,377,277,48
"B9   4",1556,201,341,225,355,355,24
"B9   5",5951,1324,1554,1237,382,1138,95
"B90  1",4637,1494,1908,202,88,807,54
"B90  2",5272,2290,2181,285,19,405,49
"B90  3",4247,1734,1618,351,138,326,37
"B90  4",4677,1845,1990,208,64,462,35
"B91  1",4237,2173,1658,18,29,302,25
"B91  2",5015,2095,1657,335,136,607,47
"B91  3",4213,1872,1722,32,73,450,26
"B92  0",1683,647,633,145,34,185,17
"B92  7",5274,1964,2071,303,174,637,50
"B92  8",5273,2025,1928,669,77,473,40
"B92  9",3478,1373,1360,211,50,411,47
"B93  0",1588,611,463,117,127,211,26
"B93  8",3068,1428,1237,113,33,219,14
"B93  9",3364,1748,1299,49,28,192,25
"B94  5",1553,775,518,17,68,120,22
"B94  6",1440,575,617,61,23,119,21
"B95  5",1812,755,529,31,238,205,15
"B95  6",824,527,181,4,27,63,8
"B96  6",2215,950,825,88,62,230,25
"B97  4",2453,744,838,181,93,521,44
"B97  5",7009,2479,2985,487,228,681,64
"B97  6",4162,729,1597,1036,315,370,29
"B98  0",5959,1589,2557,1045,200,440,58
"B98  7",7828,1846,2985,1353,468,943,92
"B98  8",3872,860,1302,934,202,470,35
"B98  9",2668,724,977,588,120,198,28
"BA1  1",931,97,76,48,238,397,42
"BA1  2",3586,769,558,95,647,1381,77
"BA1  3",3121,986,1007,38,344,646,46
"BA1  4",2307,886,693,85,326,253,35
"BA1  5",2146,643,531,25,198,654,39
"BA1  6",3864,1191,1199,143,428,795,57
"BA1  7",2340,980,805,55,161,253,38
"BA1  8",373,191,113,0,7,42,6
"BA1  9",98,33,44,0,2,12,4
"BA10 0",1379,527,400,35,144,168,32
"BA11 1",2219,569,746,76,288,478,26
"BA11 2",4664,1896,1768,118,234,524,62
"BA11 3",2071,523,660,119,295,393,41
"BA11 4",2693,979,924,118,299,293,28
"BA11 5",1374,458,509,69,95,182,28
"BA11 6",803,364,268,18,51,82,12
"BA12 0",2327,754,570,36,199,296,413
"BA12 6",1940,806,458,242,99,227,35
"BA12 7",1337,498,363,9,65,281,36
"BA12 8",3905,1291,1416,85,484,492,58
"BA12 9",2930,1184,797,41,348,403,98
"BA13 2",452,67,250,6,65,58,3
"BA13 3",5490,1513,2203,81,692,822,89
"BA13 4",2522,1067,933,30,223,200,32
"BA14 0",5275,1771,2196,56,377,737,81
"BA14 6",2524,1118,906,29,179,237,27
"BA14 7",6121,1939,2405,108,798,698,80
"BA14 8",2673,610,811,66,464,645,35
"BA14 9",3466,1283,1238,62,478,332,44
"BA15 1",4197,1825,1255,74,516,433,33
"BA15 2",1670,822,538,19,124,125,13
"BA16 0",4157,1508,1349,130,440,605,44
"BA16 9",1110,355,373,33,146,155,12
"BA2  0",1953,850,657,47,209,123,23
"BA2  1",5346,1374,1466,544,1177,614,66
"BA2  2",4365,1362,1370,206,716,549,54
"BA2  3",3284,894,813,44,203,1198,75
"BA2  4",2710,908,726,34,176,779,38
"BA2  5",3102,1161,865,202,452,351,25
"BA2  6",2866,1280,694,30,231,525,47
"BA2  7",2063,1072,596,15,46,223,27
"BA2  8",3118,1009,1340,82,244,347,32
"BA2  9",649,245,193,16,32,133,17
"BA20 1",1140,296,220,51,166,364,24
"BA20 2",3641,1424,1450,65,219,386,41
"BA21 3",6345,1901,2306,366,677,786,168
"BA21 4",3867,1215,1210,258,439,602,71
"BA21 5",4129,1102,1415,344,665,414,105
"BA22 7",1626,769,467,32,87,166,46
"BA22 8",3251,1059,1157,71,250,375,273
"BA22 9",2373,1036,703,109,205,239,32
"BA3  2",4125,1596,1579,93,308,451,42
"BA3  3",4192,1224,1750,204,472,400,57
"BA3  4",2840,1195,1022,43,171,293,59
"BA3  5",2834,1061,1017,85,286,288,33
"BA4  4",2037,716,777,19,162,262,35
"BA4  5",3556,1028,1181,120,410,686,46
"BA4  6",1851,762,576,39,104,248,39
"BA5  1",2633,1210,721,49,222,320,43
"BA5  2",3372,1493,835,95,331,465,47
"BA5  3",1825,793,599,44,86,248,25
"BA6  8",2757,1290,790,65,177,312,48
"BA6  9",2889,965,836,66,347,546,46
"BA7  7",1603,664,408,61,185,209,29
"BA8  0",1791,668,591,62,208,189,25
"BA9  8",636,311,176,8,14,91,8
"BA9  9",2555,913,794,96,253,395,48
"BB1  1",3983,1323,672,375,909,525,58
"BB1  2",3675,964,1123,452,553,480,38
"BB1  3",1191,296,240,203,292,119,16
"BB1  4",2912,1016,1021,54,170,586,42
"BB1  5",2785,947,636,200,566,335,45
"BB1  6",905,407,143,18,178,116,14
"BB1  7",1195,659,208,15,59,186,27
"BB1  8",3304,1380,1210,85,203,320,52
"BB1  9",4166,1767,1451,115,315,376,62
"BB10 1",3347,1120,854,55,211,923,99
"BB10 2",4234,1679,1725,95,254,378,56
"BB10 3",3345,1174,1175,53,230,608,64
"BB10 4",4881,1542,1548,311,763,564,65
"BB11 2",2102,672,724,81,149,417,34
"BB11 3",1953,483,430,58,318,607,19
"BB11 4",2729,784,776,142,300,647,42
"BB11 5",3001,824,981,244,527,329,37
"BB12 0",3103,1030,1211,30,271,470,40
"BB12 6",3853,1179,1500,109,284,667,67
"BB12 7",3091,1051,1082,118,245,509,47
"BB12 8",3580,1112,1216,127,348,669,50
"BB12 9",1298,593,501,32,27,103,22
"BB18 5",3423,1331,1277,57,95,566,44
"BB18 6",4120,1469,1492,204,213,625,63
"BB2  1",2369,396,477,269,593,497,37
"BB2  2",2029,442,543,136,427,399,38
"BB2  3",4175,707,1139,444,1042,647,86
"BB2  4",6332,1555,2578,387,695,900,108
"BB2  5",2989,1450,1212,27,75,173,23
"BB2  6",3365,1348,1194,34,152,521,43
"BB2  7",2859,1384,1102,24,57,194,41
"BB3  0",3869,1065,1676,163,311,526,64
"BB3  1",2835,883,1022,42,154,629,64
"BB3  2",4138,1226,1723,72,312,660,52
"BB3  3",4102,1354,1437,195,337,662,61
"BB4  4",3112,1185,1261,91,247,232,44
"BB4  5",2507,650,755,147,411,450,51
"BB4  6",3330,1139,1247,199,251,383,53
"BB4  7",2542,803,861,116,302,382,30
"BB4  8",3534,1167,1633,70,230,346,35
"BB4  9",2472,688,909,167,328,299,37
"BB5  0",3505,1029,820,244,570,708,57
"BB5  1",1878,614,344,40,275,535,41
"BB5  2",3370,1294,1266,57,218,469,39
"BB5  3",3650,1166,1274,152,380,545,68
"BB5  4",3845,1209,1346,301,438,458,47
"BB5  5",4850,1450,1952,233,366,706,79
"BB5  6",4591,1444,1735,179,284,804,76
"BB6  7",4788,1757,1609,111,337,839,62
"BB6  8",1485,615,669,3,28,101,16
"BB7  1",3448,1187,1062,109,378,565,68
"BB7  2",3111,1241,1035,94,349,284,39
"BB7  3",1304,585,284,4,39,301,44
"BB7  4",2120,914,669,14,106,335,40
"BB7  9",3547,1451,1335,39,196,368,102
"BB8  0",2841,796,772,249,267,651,51
"BB8  7",2046,922,744,38,62,221,27
"BB8  8",2196,724,940,41,90,342,37
"BB8  9",3217,835,987,439,353,503,44
"BB9  0",4703,1799,1604,107,188,846,70
"BB9  5",2434,988,734,117,138,370,42
"BB9  6",2100,990,793,19,27,211,23
"BB9  7",2145,914,425,92,94,505,54
"BB9  8",3554,931,1087,460,297,668,41
"BB9  9",2693,837,566,249,371,553,44
"BD1  1",241,6,19,5,11,192,2
"BD1  2",235,12,12,13,40,147,4
"BD1  3",438,89,76,21,54,182,3
"BD1  4",454,15,20,41,44,313,15
"BD1  5",475,11,18,4,56,366,15
"BD10 0",3713,989,1352,391,324,541,51
"BD10 8",4223,1148,1968,208,277,458,62
"BD10 9",2927,481,1128,316,529,364,28
"BD11 1",2386,849,990,196,10,271,23
"BD11 2",2482,894,1060,54,126,272,45
"BD12 0",2349,729,1032,52,163,314,24
"BD12 7",830,243,374,17,29,129,20
"BD12 8",2093,489,720,282,195,341,34
"BD12 9",2033,744,792,106,116,206,34
"BD13 1",1671,495,798,13,33,287,28
"BD13 2",3158,951,1465,115,136,386,38
"BD13 3",2910,903,1262,109,158,389,51
"BD13 4",1481,410,633,69,120,191,29
"BD13 5",1297,483,464,44,106,155,13
"BD14 6",3391,1048,1324,164,249,487,57
"BD15 0",1795,710,793,37,48,161,22
"BD15 7",3129,653,1058,481,431,417,39
"BD15 9",1228,430,537,4,68,156,13
"BD16 1",4234,1524,1607,180,268,532,61
"BD16 2",1710,425,526,141,252,329,15
"BD16 3",2368,1038,1086,5,9,170,19
"BD16 4",3159,1016,1212,115,173,564,50
"BD17 5",3566,1343,1460,177,142,342,46
"BD17 6",2750,1064,1144,100,184,180,19
"BD17 7",1791,437,545,127,82,532,30
"BD18 1",2899,906,1306,130,157,292,33
"BD18 2",2884,498,862,556,475,395,28
"BD18 3",2336,644,724,120,152,613,36
"BD18 4",3343,1235,1262,71,122,520,41
"BD19 3",2735,635,1028,363,109,494,49
"BD19 4",3999,1290,1692,389,56,441,61
"BD19 5",1169,408,489,71,10,156,19
"BD19 6",1727,602,616,216,68,178,12
"BD2  1",3137,919,1274,193,210,442,43
"BD2  2",2125,656,868,51,131,325,36
"BD2  3",3186,914,1304,230,180,450,43
"BD2  4",2856,1051,1135,23,90,442,66
"BD20 0",2740,1037,1057,55,87,414,49
"BD20 5",3020,1280,1343,14,15,269,26
"BD20 6",2882,1136,1182,48,79,358,32
"BD20 7",2089,778,830,29,143,240,27
"BD20 8",2354,863,861,68,185,273,40
"BD20 9",1739,835,614,28,48,171,22
"BD21 1",2474,643,806,171,306,464,45
"BD21 2",2262,670,760,110,179,442,45
"BD21 3",1143,325,246,21,158,343,25
"BD21 4",2859,950,1032,109,169,498,58
"BD21 5",1232,295,339,116,161,263,26
"BD22 0",1853,657,829,8,64,241,29
"BD22 6",3163,875,1078,398,387,313,40
"BD22 7",3801,1072,1582,268,267,459,55
"BD22 8",1964,593,755,17,90,413,35
"BD22 9",1915,784,784,4,46,246,22
"BD23 1",2662,1080,822,46,218,390,37
"BD23 2",3845,1280,1194,187,399,635,66
"BD23 3",1859,772,543,36,89,323,36
"BD23 4",1498,661,520,29,63,157,33
"BD23 5",1621,891,329,16,106,189,28
"BD23 6",1676,803,436,20,49,288,28
"BD24 0",797,421,203,9,26,90,26
"BD24 9",1530,698,361,33,170,218,20
"BD3  0",3286,638,780,246,670,805,65
"BD3  7",2130,571,753,227,179,322,34
"BD3  8",2527,721,694,113,269,621,42
"BD3  9",1921,556,526,60,243,426,44
"BD4  0",2750,404,852,646,513,269,16
"BD4  6",2874,637,1110,218,316,498,39
"BD4  7",1831,435,563,95,193,441,66
"BD4  8",2795,602,742,151,714,484,43
"BD4  9",2296,363,574,495,353,420,41
"BD5  0",2656,296,313,514,756,642,30
"BD5  7",1921,377,383,71,450,552,32
"BD5  8",2644,660,804,160,435,456,43
"BD5  9",3424,862,1041,363,362,662,51
"BD6  1",4123,1257,1575,238,312,592,58
"BD6  2",3049,573,1217,426,363,372,42
"BD6  3",5176,1175,2304,278,359,927,66
"BD7  1",1460,273,149,8,93,870,29
"BD7  2",3375,994,1057,201,246,731,65
"BD7  3",2724,710,634,67,291,919,48
"BD7  4",3306,1214,1332,27,114,511,53
"BD8  0",2813,752,1028,215,284,447,35
"BD8  7",2229,372,249,141,876,478,32
"BD8  8",1692,522,430,109,296,245,37
"BD8  9",2882,744,933,111,258,693,66
"BD9  4",2563,810,882,40,144,584,51
"BD9  5",2728,839,1119,19,63,587,41
"BD9  6",2857,740,1097,212,235,450,46
"BH1  1",1551,250,279,79,116,754,46
"BH1  2",595,150,71,2,20,320,14
"BH1  3",3341,921,511,28,234,1513,74
"BH1  4",4418,492,903,273,377,2207,68
"BH10 4",1749,448,583,243,92,308,35
"BH10 5",2999,1106,1143,228,68,363,42
"BH10 6",2124,926,843,86,34,182,24
"BH10 7",1741,719,460,138,174,200,18
"BH11 8",4137,805,1191,1387,257,394,34
"BH11 9",4398,1613,1609,551,124,357,56
"BH12 1",2818,813,1066,22,285,555,51
"BH12 2",3399,929,1454,123,171,599,41
"BH12 3",3447,969,1182,501,198,439,50
"BH12 4",3473,973,1176,568,202,435,44
"BH12 5",1669,518,560,202,143,192,27
"BH13 6",2392,1404,481,9,5,432,27
"BH13 7",1874,1048,355,30,33,341,27
"BH14 0",3095,914,984,154,227,726,55
"BH14 8",4419,2018,1379,25,125,770,52
"BH14 9",3008,914,1195,25,105,697,36
"BH15 1",3050,726,486,464,281,822,62
"BH15 2",2615,867,769,139,186,545,50
"BH15 3",4698,1879,1840,328,104,438,34
"BH15 4",4156,1300,1344,311,298,583,214
"BH16 5",4495,1512,1523,483,306,518,59
"BH16 6",2061,922,692,39,144,189,29
"BH17 7",3847,1245,1650,358,137,365,45
"BH17 8",3021,906,1265,59,272,416,41
"BH17 9",2686,836,1102,179,225,282,25
"BH18 8",2035,1184,638,60,12,111,13
"BH18 9",2541,1362,1066,7,3,80,8
"BH19 1",2006,1099,392,22,125,299,36
"BH19 2",2498,1103,638,60,309,301,32
"BH19 3",848,452,190,9,67,70,19
"BH2  5",2572,499,348,79,100,1375,61
"BH2  6",2204,577,483,46,140,871,40
"BH20 4",2557,1122,620,59,348,332,36
"BH20 5",1733,731,332,27,162,291,115
"BH20 6",2256,729,584,79,341,217,244
"BH20 7",1946,707,552,80,251,258,34
"BH21 1",4807,2233,1399,75,385,580,49
"BH21 2",3759,1697,1373,33,371,218,23
"BH21 3",4128,1747,1674,36,222,326,63
"BH21 4",848,280,284,8,111,108,26
"BH21 5",978,280,195,5,97,275,45
"BH21 6",560,220,183,9,99,30,5
"BH21 7",1586,763,498,7,149,116,17
"BH21 8",201,77,70,3,33,10,4
"BH22 0",3492,1966,914,34,286,183,71
"BH22 8",4673,2412,1496,39,366,287,37
"BH22 9",4034,2288,1102,22,213,315,32
"BH23 1",2701,976,699,33,462,447,34
"BH23 2",4931,2115,1715,29,474,447,43
"BH23 3",3955,1323,987,77,1111,351,32
"BH23 4",4600,2772,1260,7,95,357,32
"BH23 5",3373,1934,739,42,238,324,43
"BH23 6",184,48,70,3,17,41,4
"BH23 7",1831,690,718,12,187,164,19
"BH23 8",1962,912,665,75,41,199,19
"BH24 1",4520,1757,1392,410,213,609,67
"BH24 2",3040,1920,867,2,55,137,24
"BH24 3",1990,864,734,27,15,275,33
"BH24 4",585,263,161,47,21,46,25
"BH25 5",5410,2280,1638,563,240,529,50
"BH25 6",3206,1580,626,236,183,485,31
"BH25 7",3300,2173,774,5,58,227,26
"BH3  7",2295,744,710,9,123,650,33
"BH31 6",4182,1699,1775,42,268,304,46
"BH31 7",1319,664,540,6,28,66,5
"BH4  8",2935,1059,702,38,55,979,57
"BH4  9",2186,605,557,90,150,697,51
"BH5  1",3519,712,662,45,112,1854,72
"BH5  2",2125,517,620,22,154,716,46
"BH6  3",4283,1549,1188,25,253,1151,71
"BH6  4",1811,1016,419,18,48,270,19
"BH6  5",3964,1147,1571,209,219,701,56
"BH7  6",3473,928,1308,45,161,947,49
"BH7  7",1492,572,575,8,24,215,82
"BH8  0",3041,675,1023,508,345,366,40
"BH8  8",5457,782,1332,248,502,2370,123
"BH8  9",3466,1197,1230,259,96,600,44
"BH9  1",4771,1012,1730,176,193,1472,111
"BH9  2",3312,855,1162,17,116,1075,52
"BH9  3",4111,1492,1841,146,56,471,57
"BL0  0",2469,820,1034,158,138,240,28
"BL0  9",5239,1921,2283,236,98,573,70
"BL1  1",218,7,18,5,66,88,5
"BL1  2",2136,170,220,877,436,321,14
"BL1  3",4254,997,1085,795,420,776,58
"BL1  4",3947,970,1041,441,207,1159,61
"BL1  5",5006,1935,1666,693,120,455,39
"BL1  6",3727,1264,1429,428,118,384,47
"BL1  7",3541,1274,1540,201,26,407,44
"BL1  8",4415,1261,1217,686,332,751,52
"BL2  1",1695,471,409,98,268,400,13
"BL2  2",3826,838,1033,1029,196,583,53
"BL2  3",3749,1668,1449,160,147,231,39
"BL2  4",1993,1003,857,6,12,86,18
"BL2  5",4006,864,922,1655,198,243,27
"BL2  6",4591,1376,1698,593,353,447,51
"BL3  1",5265,1883,2042,513,208,450,76
"BL3  2",3485,894,982,379,367,691,49
"BL3  3",5678,1532,1708,903,491,831,69
"BL3  4",5775,1812,1723,670,613,752,77
"BL3  5",3023,786,489,914,259,416,34
"BL3  6",1944,522,240,541,202,325,39
"BL4  0",3999,1082,1489,803,136,358,32
"BL4  7",3049,662,868,563,317,529,51
"BL4  8",3500,1042,1227,634,202,304,36
"BL4  9",3723,660,964,1116,395,415,50
"BL5  1",1184,629,412,14,16,70,8
"BL5  2",5073,1490,2321,450,321,369,54
"BL5  3",5247,1623,2275,246,235,726,68
"BL6  4",2357,1007,1112,13,21,158,21
"BL6  5",4322,1457,1861,294,159,457,38
"BL6  6",3059,1069,1141,275,209,297,32
"BL6  7",2952,896,984,438,162,348,53
"BL7  0",1325,553,615,4,21,107,15
"BL7  8",300,135,127,1,3,32,1
