
"QS302EW - General health"
"ONS Crown Copyright Reserved [from Nomis on 12 August 2018]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All categories: General health","Very good health","Good health","Fair health","Bad health","Very bad health"
"LS27 7",10556,5038,3718,1295,410,95
"LS27 8",9906,4493,3413,1346,516,138
"LS27 9",8680,4015,3014,1158,392,101
"LS28 5",11426,5691,3808,1410,410,107
"LS28 6",3229,1658,1085,336,120,30
"LS28 7",9603,4406,3304,1377,408,108
"LS28 8",7539,3622,2564,1000,275,78
"LS28 9",6099,2925,2067,800,240,67
"LS29 0",5016,2555,1720,597,115,29
"LS29 6",5188,2845,1669,529,111,34
"LS29 7",7338,4130,2277,713,181,37
"LS29 8",8071,4129,2680,977,217,68
"LS29 9",5843,3022,1771,760,232,58
"LS3  1",2876,1502,966,285,98,25
"LS4  2",9072,4503,3172,984,326,87
"LS5  3",8507,4268,2821,1034,306,78
"LS6  1",15609,9096,5024,1099,304,86
"LS6  2",10943,6055,3590,922,266,110
"LS6  3",12466,7178,3835,1044,335,74
"LS6  4",9259,5015,2963,918,282,81
"LS7  1",3854,1740,1333,512,197,72
"LS7  2",7671,3636,2495,1005,400,135
"LS7  3",8642,4132,2783,1166,425,136
"LS7  4",8099,4137,2547,973,330,112
"LS8  1",9666,5079,2982,1162,346,97
"LS8  2",11990,6124,3793,1476,449,148
"LS8  3",12362,5680,4213,1716,585,168
"LS8  4",6267,2976,2213,765,231,82
"LS8  5",8001,3684,2810,1043,340,124
"LS9  0",6023,2549,2112,838,404,120
"LS9  6",11990,5301,3919,1750,795,225
"LS9  7",7352,2946,2535,1144,564,163
"LS9  8",5205,2570,1777,575,226,57
"LS9  9",5836,2660,1992,834,272,78
"LU1  1",14292,6884,5101,1560,556,191
"LU1  2",1341,688,516,104,26,7
"LU1  3",9901,4639,3670,1118,353,121
"LU1  4",5534,2580,1977,730,202,45
"LU1  5",12287,5501,4350,1649,578,209
"LU2  0",11628,5406,4231,1443,415,133
"LU2  7",20884,10480,7371,2311,553,169
"LU2  8",12714,6229,4521,1472,387,105
"LU2  9",11664,5383,4375,1408,387,111
"LU3  1",22499,10702,7997,2723,795,282
"LU3  2",13703,5949,5120,1959,499,176
"LU3  3",18934,8623,6888,2475,724,224
"LU3  4",5414,2886,1839,523,139,27
"LU4  0",16601,7500,5850,2316,700,235
"LU4  8",16444,7431,6028,2060,698,227
"LU4  9",19024,8493,6832,2592,852,255
"LU5  4",13427,6185,4975,1644,477,146
"LU5  5",17363,8066,6228,2179,691,199
"LU5  6",7495,3683,2719,831,206,56
"LU6  1",10729,4685,4010,1500,421,113
"LU6  2",8053,3985,2877,889,236,66
"LU6  3",12051,5923,4321,1384,317,106
"LU7  0",9134,4761,3109,954,238,72
"LU7  1",5362,2273,2001,754,255,79
"LU7  2",11484,5665,4182,1217,309,111
"LU7  3",13198,6125,4974,1589,421,89
"LU7  4",7425,4119,2503,586,173,44
"LU7  9",7365,3806,2515,785,204,55
"M1   1",779,498,238,32,9,2
"M1   2",3438,2227,1076,111,18,6
"M1   3",1074,579,374,72,40,9
"M1   4",215,142,60,9,4,0
"M1   5",3193,2006,981,183,15,8
"M1   6",822,447,275,56,30,14
"M1   7",2700,1512,880,235,57,16
"M11  1",5759,2681,1725,846,368,139
"M11  2",3173,1427,970,488,220,68
"M11  3",3390,1514,1043,485,261,87
"M11  4",8121,3619,2508,1189,614,191
"M12  4",7173,3414,2332,857,428,142
"M12  5",8201,3592,2740,1190,528,151
"M12  6",802,336,246,132,72,16
"M13  0",16462,8161,5385,1923,732,261
"M13  9",7499,3823,2414,762,348,152
"M14  4",9432,4800,2904,1072,492,164
"M14  5",10499,5897,3263,918,316,105
"M14  6",19997,12063,5891,1464,435,144
"M14  7",12892,6244,4117,1593,690,248
"M15  4",8271,4739,2460,711,275,86
"M15  5",6329,3391,2018,594,237,89
"M15  6",7710,4285,2577,607,185,56
"M16  0",7905,3761,2590,1042,395,117
"M16  7",7628,3589,2326,1077,480,156
"M16  8",11373,5487,3809,1316,559,202
"M16  9",8815,4207,2769,1226,467,146
"M18  7",12643,5679,4199,1722,792,251
"M18  8",10624,4487,3518,1711,735,173
"M19  1",11859,5402,3819,1674,706,258
"M19  2",13048,6258,4341,1640,614,195
"M19  3",9679,4632,3264,1181,478,124
"M20  1",7931,3963,2312,992,490,174
"M20  2",11380,6746,3194,988,340,112
"M20  3",6254,3711,1805,528,165,45
"M20  4",10354,5545,3278,1068,333,130
"M20  5",4595,2445,1497,474,138,41
"M20  6",8081,4573,2318,794,307,89
"M21  0",6362,3396,1962,682,246,76
"M21  7",8308,3965,2505,1163,502,173
"M21  8",5924,3389,1780,538,167,50
"M21  9",8989,4917,2685,961,314,112
"M22  0",3171,1215,1051,553,255,97
"M22  1",8002,3520,2511,1269,531,171
"M22  4",10255,4725,3308,1410,618,194
"M22  5",6491,2693,2177,1017,451,153
"M22  8",4842,2266,1598,598,277,103
"M22  9",9610,4119,3052,1493,700,246
"M23  0",8758,3831,2835,1298,591,203
"M23  1",8338,3875,2633,1198,487,145
"M23  2",5909,2503,1947,868,453,138
"M23  9",7944,3512,2640,1190,487,115
"M24  1",11153,5248,3602,1599,561,143
"M24  2",13109,5895,4455,1760,760,239
"M24  4",9177,3768,2968,1497,725,219
"M24  5",8323,3569,2586,1375,618,175
"M24  6",4986,2088,1627,873,312,86
"M25  0",8978,5158,2508,935,290,87
"M25  1",7724,3549,2612,1073,379,111
"M25  2",3842,1815,1291,523,165,48
"M25  3",3268,1559,1022,483,159,45
"M25  9",7663,3571,2481,1144,377,90
"M26  1",10423,5358,3408,1134,422,101
"M26  2",6112,2740,2151,833,305,83
"M26  3",10015,4323,3484,1469,599,140
"M26  4",8263,3680,2823,1222,410,128
"M27  0",6983,3451,2313,866,274,79
"M27  4",5269,2249,1823,756,343,98
"M27  5",8481,3926,2848,1160,413,134
"M27  6",5647,2330,2025,892,309,91
"M27  8",9522,4217,3212,1348,569,176
"M27  9",6167,2605,2269,885,331,77
"M28  0",5697,2469,1809,870,409,140
"M28  1",9794,4973,3107,1203,402,109
"M28  2",5902,3119,1840,686,193,64
"M28  3",10867,4824,3629,1581,662,171
"M28  7",7165,3671,2275,826,323,70
"M29  7",13455,6794,4498,1529,490,144
"M29  8",9441,4242,3096,1396,556,151
"M3   1",734,465,212,40,13,4
"M3   2",143,92,44,6,1,0
"M3   3",544,385,139,18,1,1
"M3   4",2266,1498,654,97,13,4
"M3   5",1268,657,436,111,49,15
"M3   6",3762,1972,1344,298,116,32
"M3   7",2992,1549,1006,262,150,25
"M30  0",10099,4064,3267,1683,843,242
"M30  7",8773,3809,2846,1406,555,157
"M30  8",9115,4004,2939,1428,585,159
"M30  9",7996,3879,2543,1105,367,102
"M31  4",8395,3702,2655,1279,576,183
"M32  0",10553,5011,3529,1372,504,137
"M32  8",6913,3332,2296,885,318,82
"M32  9",11120,5181,3620,1562,596,161
"M33  2",12890,6355,4199,1631,541,164
"M33  3",12249,6560,3912,1305,380,92
"M33  4",14234,7334,4468,1645,616,171
"M33  5",9763,4728,3166,1306,432,131
"M33  6",6891,3690,2151,758,237,55
"M33  7",4447,2270,1444,488,207,38
"M34  2",10253,4692,3493,1486,482,100
"M34  3",8974,3949,3114,1306,470,135
"M34  5",11739,5240,3972,1781,564,182
"M34  6",6935,2876,2347,1121,471,120
"M34  7",8389,3392,2734,1467,579,217
"M35  0",11288,4744,3838,1798,712,196
"M35  9",9392,4451,3128,1267,428,118
"M38  0",2632,1187,768,399,216,62
"M38  9",10326,4252,3242,1745,828,259
"M4   1",1679,1026,502,116,23,12
"M4   4",3374,2119,1088,131,28,8
"M4   5",1636,915,445,166,84,26
"M4   6",1315,742,394,116,48,15
"M4   7",2736,1335,962,279,131,29
"M40  0",4260,1893,1417,596,276,78
"M40  1",5597,2203,1836,918,488,152
"M40  2",5798,2325,1756,981,555,181
"M40  3",7424,3099,2572,1149,473,131
"M40  5",4134,1709,1356,665,321,83
"M40  7",5203,2085,1640,829,478,171
"M40  8",3862,1622,1131,659,330,120
"M40  9",4579,1994,1444,733,327,81
"M41  0",5833,2863,1897,761,240,72
"M41  5",6517,3396,2032,783,238,68
"M41  6",7841,3694,2520,1157,387,83
"M41  7",5800,2733,1993,774,248,52
"M41  8",6522,3038,2217,903,282,82
"M41  9",8968,4426,2792,1171,475,104
"M43  6",9805,4132,3385,1557,569,162
"M43  7",13450,5878,4597,2055,718,202
"M44  5",7432,3162,2595,1128,438,109
"M44  6",12257,5632,4242,1665,555,163
"M45  6",5654,2644,1982,733,227,68
"M45  7",9439,4655,3060,1249,369,106
"M45  8",7629,3312,2435,1234,489,159
"M46  0",10065,4484,3295,1530,584,172
"M46  9",12138,5116,4138,1946,748,190
"M5   3",5177,2396,1620,703,365,93
"M5   4",5638,2552,1855,741,373,117
"M5   5",4914,2080,1619,739,365,111
"M50  1",942,510,314,91,19,8
"M50  2",259,165,85,6,3,0
"M50  3",2248,1377,717,113,34,7
"M6   5",8289,3408,2633,1373,676,199
"M6   6",5582,2535,1829,740,370,108
"M6   7",9010,4118,2884,1358,522,128
"M6   8",9093,3933,2953,1432,592,183
"M60  7",466,322,118,22,4,0
"M60  9",971,312,418,151,66,24
"M7   1",3544,1453,1117,566,322,86
"M7   2",5368,2392,1675,783,385,133
"M7   3",5256,2391,1690,778,311,86
"M7   4",13578,7771,3345,1569,661,232
"M8   0",10051,4876,3215,1245,547,168
"M8   4",7702,3343,2553,1201,467,138
"M8   5",6289,2726,2135,915,382,131
"M8   8",3543,1810,1095,364,209,65
"M8   9",3513,1554,1120,507,242,90
"M9   0",4466,1822,1370,801,368,105
"M9   4",8037,3650,2524,1113,591,159
"M9   5",3775,1535,1110,671,343,116
"M9   6",9106,3855,2887,1421,697,246
"M9   7",6082,2682,1892,874,487,147
"M9   8",8052,3591,2623,1143,553,142
"ME1  1",5641,2668,2060,650,199,64
"ME1  2",14448,6464,5254,1978,608,144
"ME1  3",11103,5264,3922,1413,398,106
"ME10 1",13536,6052,4776,2023,517,168
"ME10 2",14571,6836,5268,1776,540,151
"ME10 3",7399,3178,2808,1003,313,97
"ME10 4",9344,4259,3224,1353,414,94
"ME10 5",2732,1593,935,158,37,9
"ME11 5",3407,1293,1330,540,196,48
"ME12 1",6686,2448,2375,1198,503,162
"ME12 2",12721,5143,4699,2000,682,197
"ME12 3",11062,4665,4040,1648,551,158
"ME12 4",6415,2239,2341,1211,461,163
"ME13 0",3508,1730,1233,408,111,26
"ME13 7",9316,4143,3314,1325,397,137
"ME13 8",10000,4745,3402,1319,414,120
"ME13 9",5135,2469,1804,656,153,53
"ME14 1",3247,1381,1160,505,152,49
"ME14 2",10705,5371,3762,1168,325,79
"ME14 3",1953,1001,672,217,47,16
"ME14 4",6277,3271,2094,643,219,50
"ME14 5",9532,4777,3400,1062,241,52
"ME15 0",4039,1985,1331,560,124,39
"ME15 6",10536,5111,3656,1259,363,147
"ME15 7",10888,4845,3875,1559,487,122
"ME15 8",11055,5022,3855,1572,455,151
"ME15 9",11141,5123,3991,1496,412,119
"ME16 0",13260,6508,4630,1624,383,115
"ME16 8",11475,5509,4097,1388,362,119
"ME16 9",5311,2444,1920,679,222,46
"ME17 1",4742,2304,1596,622,162,58
"ME17 2",3969,1829,1477,491,134,38
"ME17 3",5728,2741,2013,699,221,54
"ME17 4",7950,3893,2792,963,245,57
"ME18 5",4694,2318,1614,578,160,24
"ME18 6",2109,996,696,310,78,29
"ME19 4",7770,4932,2250,460,104,24
"ME19 5",6360,3396,2047,689,188,40
"ME19 6",7667,3570,2616,1059,325,97
"ME2  1",5448,2565,1983,704,154,42
"ME2  2",14407,6354,5340,1903,631,179
"ME2  3",12734,5964,4759,1504,395,112
"ME2  4",6940,3061,2532,968,292,87
"ME20 6",13367,6359,4849,1615,423,121
"ME20 7",7278,3544,2544,859,245,86
"ME3  0",1648,676,610,242,81,39
"ME3  7",6309,2906,2219,883,254,47
"ME3  8",8480,4236,2932,963,264,85
"ME3  9",9747,3871,3635,1603,513,125
"ME4  3",2847,1569,997,222,49,10
"ME4  4",3892,2005,1239,427,164,57
"ME4  5",13862,6059,5157,1854,605,187
"ME4  6",9590,4245,3530,1251,447,117
"ME5  0",11868,4986,4358,1767,599,158
"ME5  7",12596,5962,4374,1618,491,151
"ME5  8",15253,7404,5588,1679,459,123
"ME5  9",11692,5709,4227,1355,313,88
"ME6  5",10211,4592,3740,1392,364,123
"ME7  1",11550,5489,3978,1470,465,148
"ME7  2",12697,5801,4541,1660,553,142
"ME7  3",8581,4317,3057,922,216,69
"ME7  4",9682,4411,3455,1293,410,113
"ME7  5",9265,4399,3287,1080,399,100
"ME8  0",9319,4280,3324,1319,321,75
"ME8  6",10031,4073,3646,1570,572,170
"ME8  7",7453,3177,2824,1068,309,75
"ME8  8",9744,4663,3552,1139,316,74
"ME8  9",12667,5944,4641,1596,387,99
"ME9  0",2714,1262,1025,321,87,19
"ME9  7",6826,3182,2404,903,259,78
"ME9  8",6148,3145,2102,672,183,46
"ME9  9",4865,2072,1836,687,200,70
"MK1  1",585,225,222,90,31,17
"MK10 7",2513,1493,842,136,35,7
"MK10 9",11312,7065,3474,567,162,44
"MK11 1",5893,2586,2204,858,194,51
"MK11 2",1843,909,647,223,54,10
"MK12 5",7779,3799,2806,853,245,76
"MK12 6",4713,1991,1794,661,214,53
"MK13 0",4475,2118,1664,507,152,34
"MK13 7",7893,3587,2891,1013,324,78
"MK13 8",3466,1667,1325,353,95,26
"MK13 9",3026,1396,1067,409,113,41
"MK14 5",6796,3118,2475,878,257,68
"MK14 6",6047,2866,2171,722,229,59
"MK14 7",5857,2766,2098,683,243,67
"MK15 0",1165,571,447,116,21,10
"MK15 8",1870,810,722,262,65,11
"MK15 9",4170,2009,1472,484,146,59
"MK16 0",5506,2733,1998,581,143,51
"MK16 8",8088,3853,2912,985,259,79
"MK16 9",4906,2493,1762,469,151,31
"MK17 0",6135,3194,2102,650,156,33
"MK17 8",6685,3486,2217,744,178,60
"MK17 9",4409,2249,1474,535,114,37
"MK18 1",9331,4940,3051,998,262,80
"MK18 2",5993,3308,1949,590,107,39
"MK18 3",5922,2856,2059,757,191,59
"MK18 4",3574,1935,1130,380,104,25
"MK18 5",2284,1355,714,170,37,8
"MK18 7",3559,1990,1189,312,57,11
"MK19 6",6489,3287,2387,616,159,40
"MK19 7",4769,2414,1628,544,144,39
"MK2  2",6543,2676,2359,1046,358,104
"MK2  3",7773,3453,2775,1068,372,105
"MK3  5",6492,2913,2427,860,228,64
"MK3  6",5612,2461,2120,754,233,44
"MK3  7",10521,4625,4007,1411,371,107
"MK4  1",5719,2898,1994,625,157,45
"MK4  2",5271,2856,1836,424,125,30
"MK4  3",3496,2066,1050,270,91,19
"MK4  4",7381,4575,2217,464,103,22
"MK40 1",3641,1561,1374,483,166,57
"MK40 2",7278,3005,2372,1280,474,147
"MK40 3",8351,4340,2830,894,222,65
"MK40 4",11739,5679,4229,1295,421,115
"MK41 0",9535,4605,3415,1104,322,89
"MK41 6",4560,2140,1598,602,172,48
"MK41 7",12153,5729,4417,1473,426,108
"MK41 8",7932,3479,2922,1148,307,76
"MK41 9",8357,3869,3047,1131,237,73
"MK42 0",12215,5374,4557,1668,482,134
"MK42 6",976,544,331,78,17,6
"MK42 7",8460,3658,3274,1122,322,84
"MK42 8",10425,4649,3916,1334,405,121
"MK42 9",12482,5660,4665,1480,521,156
"MK43 0",12222,6456,4137,1194,345,90
"MK43 7",7357,3940,2371,837,162,47
"MK43 8",7180,3704,2413,847,174,42
"MK43 9",6224,2882,2285,811,193,53
"MK44 1",5230,2654,1825,569,149,33
"MK44 2",3473,1694,1259,399,98,23
"MK44 3",6614,3146,2392,820,204,52
"MK45 1",12664,6368,4499,1373,345,79
"MK45 2",10307,5399,3436,1141,248,83
"MK45 3",5845,2665,2137,770,226,47
"MK45 4",9116,4651,3141,1004,256,64
"MK45 5",5117,2687,1761,507,120,42
"MK46 4",3081,1587,1032,354,87,21
"MK46 5",6045,3288,2022,579,122,34
"MK5  6",5255,2978,1747,406,92,32
"MK5  7",6906,3924,2208,563,155,56
"MK5  8",3277,1862,997,295,97,26
"MK6  2",10880,5717,3688,1057,314,104
"MK6  3",5567,2492,2082,665,261,67
"MK6  4",6155,2895,1942,808,370,140
"MK6  5",5511,2394,1869,810,300,138
"MK7  6",2636,1339,911,260,82,44
"MK7  7",6939,3768,2395,575,156,45
"MK7  8",4984,2892,1597,373,92,30
"MK8  0",4761,2759,1503,352,114,33
"MK8  8",4215,2026,1607,433,111,38
"MK8  9",3086,1644,1036,301,81,24
"MK9  2",1416,857,465,76,15,3
"MK9  3",1548,776,557,157,49,9
"MK9  4",402,202,160,32,7,1
"N1   0",10637,5421,3195,1243,559,219
"N1   1",8827,4915,2584,824,385,119
"N1   2",11521,6008,3634,1193,505,181
"N1   3",8041,4156,2392,926,410,157
"N1   4",8767,4760,2681,865,345,116
"N1   5",9305,4784,2930,990,445,156
"N1   6",8465,4427,2666,928,332,112
"N1   7",11223,5855,3476,1171,529,192
"N1   8",7709,4222,2285,734,328,140
"N1   9",6561,3492,2023,654,283,109
"N10  1",8657,4756,2623,871,314,93
"N10  2",9844,5461,3052,913,315,103
"N10  3",9491,5760,2706,747,199,79
"N11  1",9710,4440,3448,1243,436,143
"N11  2",10723,5273,3800,1178,358,114
"N11  3",9446,4900,3167,928,338,113
"N12  0",8407,3983,2894,1043,358,129
"N12  7",5717,3075,1822,584,188,48
"N12  8",7771,3973,2465,961,293,79
"N12  9",7003,3507,2323,856,246,71
"N13  4",12771,6246,4473,1434,457,161
"N13  5",12979,6091,4461,1698,571,158
"N13  6",6033,2765,2037,835,293,103
"N14  4",10824,5023,3758,1489,434,120
"N14  5",6217,3014,2178,740,214,71
"N14  6",7009,3574,2417,755,204,59
"N14  7",5906,3002,1996,677,171,60
"N15  3",10606,4885,3801,1267,481,172
"N15  4",10314,4416,3817,1288,575,218
"N15  5",9828,4241,3616,1260,516,195
"N15  6",12970,6949,3916,1360,544,201
"N16  0",8675,4854,2567,777,349,128
"N16  5",15922,9707,3910,1487,604,214
"N16  6",15262,9536,3836,1246,462,182
"N16  7",11143,5862,3530,1137,454,160
"N16  8",11466,5496,3715,1393,641,221
"N16  9",6099,3347,1926,532,224,70
"N17  0",10984,4681,3952,1584,576,191
"N17  6",20703,9357,7325,2619,1030,372
"N17  7",10251,4509,3536,1395,597,214
"N17  8",8006,3564,2798,1058,409,177
"N17  9",13594,6027,4971,1719,657,220
"N18  1",15726,7039,5627,2105,693,262
"N18  2",16016,7232,5675,2099,747,263
"N19  3",12727,6397,3953,1499,648,230
"N19  4",10590,5209,3340,1331,524,186
"N19  5",10435,5071,3256,1340,545,223
"N2   0",10187,5688,3086,1027,278,108
"N2   8",6122,3118,1982,730,225,67
"N2   9",7659,4234,2343,763,238,81
"N20  0",10831,5550,3566,1205,388,122
"N20  8",4217,2393,1316,384,93,31
"N20  9",3976,1954,1337,472,146,67
"N21  1",8710,4492,2872,942,321,83
"N21  2",6976,3700,2305,736,165,70
"N21  3",7814,4021,2596,884,230,83
"N22  5",13898,6305,5001,1746,628,218
"N22  6",12558,5568,4416,1619,700,255
"N22  7",7164,4039,2202,624,216,83
"N22  8",9231,4290,3377,1023,378,163
"N3   1",9294,4988,3034,947,261,64
"N3   2",9303,4830,3175,911,301,86
"N3   3",7937,4109,2584,935,238,71
"N4   1",12671,6262,4296,1380,535,198
"N4   2",15947,8242,4955,1770,731,249
"N4   3",11549,5750,3669,1352,589,189
"N4   4",7124,3804,2287,708,248,77
"N5   1",12004,7113,3423,994,345,129
"N5   2",12283,6650,3599,1304,557,173
"N6   4",5160,2878,1546,510,188,38
"N6   5",10978,6423,3425,814,250,66
"N6   6",3336,1866,1019,286,118,47
"N7   0",13129,6502,4272,1499,629,227
"N7   6",6788,3456,2189,735,306,102
"N7   7",7154,3246,2210,1029,490,179
"N7   8",11553,5806,3552,1414,578,203
"N7   9",9533,4566,3040,1221,516,190
"N8   0",11252,5551,3801,1242,488,170
"N8   7",9873,5070,3154,1124,378,147
"N8   8",8604,5035,2577,687,219,86
"N8   9",10308,5918,3048,890,341,111
"N9   0",12205,5506,4138,1688,644,229
"N9   7",10129,4454,3699,1357,465,154
"N9   8",12656,5651,4440,1722,639,204
"N9   9",17203,7528,6194,2346,835,300
"NE1  2",3077,1573,994,321,141,48
"NE1  3",621,401,178,31,7,4
"NE1  4",1966,1010,642,210,74,30
"NE1  5",1053,646,331,66,8,2
"NE1  6",1341,799,454,70,13,5
"NE1  8",993,530,340,75,34,14
"NE10 0",8892,3604,2938,1515,649,186
"NE10 8",17836,7486,5969,2844,1164,373
"NE10 9",9493,3704,3164,1669,700,256
"NE11 0",4185,1675,1479,684,271,76
"NE11 9",12274,5496,4078,1809,670,221
"NE12 5",1914,948,624,230,94,18
"NE12 6",8685,3951,3019,1219,378,118
"NE12 7",5005,2295,1632,773,237,68
"NE12 8",9991,4360,3285,1551,603,192
"NE12 9",9501,4445,3114,1306,468,168
"NE13 6",5547,2154,1971,1044,292,86
"NE13 7",5294,2206,1839,843,313,93
"NE13 8",1069,515,375,137,34,8
"NE13 9",941,529,273,99,32,8
"NE15 0",2347,1180,816,265,64,22
"NE15 6",5961,2363,1923,1006,506,163
"NE15 7",9328,4141,3113,1470,463,141
"NE15 8",8829,3724,2973,1438,553,141
"NE15 9",6226,2553,2023,1092,466,92
"NE16 3",3335,1482,1199,430,183,41
"NE16 4",6424,2775,2205,1037,300,107
"NE16 5",10913,4898,3939,1547,426,103
"NE16 6",5002,2221,1703,747,261,70
"NE17 7",4669,1849,1555,789,379,97
"NE18 0",927,440,343,117,24,3
"NE19 1",1240,543,472,167,47,11
"NE19 2",1033,529,360,114,22,8
"NE2  1",9878,5577,2971,891,332,107
"NE2  2",7321,4738,2005,433,118,27
"NE2  3",7198,4839,1916,351,71,21
"NE2  4",5132,3019,1514,408,135,56
"NE20 0",1426,781,479,131,28,7
"NE20 9",10447,5208,3517,1313,315,94
"NE21 4",5620,2515,2001,778,265,61
"NE21 5",5350,2368,1844,773,285,80
"NE21 6",6306,2416,2292,1087,416,95
"NE22 5",8937,3744,3106,1444,505,138
"NE22 6",5657,2791,1801,776,213,76
"NE22 7",3290,1264,1087,621,238,80
"NE23 1",3745,1604,1318,593,176,54
"NE23 2",5826,2754,2033,709,250,80
"NE23 3",5710,3208,1827,510,125,40
"NE23 6",10745,4205,3823,1935,623,159
"NE23 7",10580,4319,3721,1677,686,177
"NE23 8",2627,1126,883,439,129,50
"NE24 1",3565,1316,1119,696,342,92
"NE24 2",6252,2455,2105,1118,455,119
"NE24 3",11064,5120,3845,1531,448,120
"NE24 4",7700,3462,2600,1098,416,124
"NE24 5",9495,3730,3042,1726,791,206
"NE25 0",9350,3933,3237,1516,513,151
"NE25 8",9169,4411,3022,1252,378,106
"NE25 9",11289,5361,3872,1544,415,97
"NE26 1",5264,2794,1698,603,129,40
"NE26 2",4523,2212,1457,634,170,50
"NE26 3",5275,2693,1692,687,153,50
"NE26 4",4264,1754,1412,807,225,66
"NE27 0",12024,5792,3831,1584,638,179
"NE28 0",8701,3612,2781,1486,637,185
"NE28 6",5201,2177,1794,843,300,87
"NE28 7",8007,3425,2638,1216,539,189
"NE28 8",9635,4118,3370,1476,504,167
"NE28 9",13205,5835,4579,1944,688,159
"NE29 0",6582,2829,2211,1065,377,100
"NE29 6",7712,3073,2511,1366,592,170
"NE29 7",8361,3574,2680,1375,578,154
"NE29 8",8812,3783,2957,1378,564,130
"NE29 9",4146,1840,1452,626,175,53
"NE3  1",9084,5156,2675,914,250,89
"NE3  2",13842,6638,4664,1815,560,165
"NE3  3",11578,5004,3762,1889,728,195
"NE3  4",10550,5616,3177,1172,461,124
"NE3  5",7996,4394,2387,921,230,64
"NE30 1",1317,488,431,261,113,24
"NE30 2",7761,3814,2517,1012,323,95
"NE30 3",8303,3633,2861,1317,391,101
"NE30 4",4952,2324,1547,745,261,75
"NE31 1",10260,4626,3410,1465,592,167
"NE31 2",9870,3773,3395,1726,764,212
"NE32 3",5327,2093,1697,967,447,123
"NE32 4",10419,4297,3551,1704,657,210
"NE32 5",9643,4023,3188,1662,626,144
"NE33 1",1316,480,423,274,110,29
"NE33 2",6229,2665,2082,1008,367,107
"NE33 3",7866,3652,2507,1142,441,124
"NE33 4",7324,3147,2382,1134,494,167
"NE33 5",4334,1715,1416,733,354,116
"NE34 0",10653,4656,3463,1688,647,199
"NE34 6",9264,4060,3119,1429,493,163
"NE34 7",11667,5100,3709,1877,765,216
"NE34 8",10126,4080,3288,1746,746,266
"NE34 9",10769,4327,3491,1889,793,269
"NE35 9",6428,3002,2144,868,334,80
"NE36 0",6854,3226,2274,938,330,86
"NE37 1",9759,4327,3322,1448,517,145
"NE37 2",7202,2793,2439,1286,517,167
"NE37 3",4095,1852,1404,546,238,55
"NE38 0",9145,4067,3260,1257,422,139
"NE38 7",9000,3771,3111,1446,500,172
"NE38 8",7820,3506,2729,1093,398,94
"NE38 9",5136,2346,1728,730,243,89
"NE39 1",3968,1717,1401,630,161,59
"NE39 2",4607,1927,1517,764,280,119
"NE4  5",7963,4058,2554,875,374,102
"NE4  6",7247,3027,2350,1133,564,173
"NE4  7",2452,852,706,525,294,75
"NE4  8",7753,3659,2480,1016,467,131
"NE4  9",12022,6037,3839,1494,511,141
"NE40 3",7629,3248,2691,1175,411,104
"NE40 4",8006,3501,2880,1175,349,101
"NE41 8",2197,1137,717,272,53,18
"NE42 5",6974,3252,2345,961,334,82
"NE42 6",5633,2615,1932,794,238,54
"NE43 7",4523,2320,1535,521,119,28
"NE44 6",966,432,346,138,45,5
"NE45 5",3672,1728,1238,522,152,32
"NE46 1",4198,1779,1443,688,231,57
"NE46 2",4459,2081,1577,619,150,32
"NE46 3",3510,1788,1174,426,99,23
"NE46 4",3370,1596,1195,438,116,25
"NE47 0",1070,584,340,124,18,4
"NE47 5",906,459,301,116,23,7
"NE47 6",2184,998,755,312,94,25
"NE47 7",1214,616,406,143,30,19
"NE47 8",522,243,197,63,14,5
"NE47 9",2021,895,769,275,69,13
"NE48 1",764,344,261,125,26,8
"NE48 2",1852,868,608,295,69,12
"NE48 3",1105,492,424,142,40,7
"NE48 4",573,278,191,80,17,7
"NE49 0",1085,470,371,185,45,14
"NE49 9",3259,1300,1243,527,150,39
"NE5  1",8712,3991,2908,1359,367,87
"NE5  2",14247,6029,4720,2314,909,275
"NE5  3",10188,4351,3185,1595,773,284
"NE5  4",8841,3675,2822,1464,684,196
"NE5  5",7115,2823,2339,1286,518,149
"NE6  1",3214,1423,991,476,238,86
"NE6  2",11558,4376,3659,2088,1105,330
"NE6  3",8348,3263,2627,1526,729,203
"NE6  4",11940,4954,4005,2010,763,208
"NE6  5",15967,8615,5096,1604,490,162
"NE61 1",4134,1670,1400,797,202,65
"NE61 2",8928,4230,2933,1353,313,99
"NE61 3",3853,2043,1243,422,112,33
"NE61 4",1260,594,468,136,48,14
"NE61 5",8080,3321,2839,1342,461,117
"NE61 6",5014,2368,1610,722,243,71
"NE62 5",9636,3922,3277,1734,559,144
"NE63 0",8147,3120,2800,1494,593,140
"NE63 8",8490,3657,2797,1323,553,160
"NE63 9",11152,4387,3729,1957,859,220
"NE64 6",6308,2326,2097,1235,495,155
"NE65 0",7878,3273,2684,1379,416,126
"NE65 7",3889,1731,1418,579,131,30
"NE65 8",2141,1005,722,305,88,21
"NE65 9",6856,2930,2461,1060,307,98
"NE66 1",6766,2953,2357,1042,317,97
"NE66 2",4244,1957,1456,598,181,52
"NE66 3",4720,2351,1611,564,146,48
"NE66 4",1522,731,545,187,39,20
"NE66 5",338,161,124,41,9,3
