
"QS406EW - Household size"
"ONS Crown Copyright Reserved [from Nomis on 12 August 2018]"
"Population :","All household spaces with at least one usual resident"
"Units      :","Household spaces"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All categories: Household size","1 person in household","2 people in household","3 people in household","4 people in household","5 people in household","6 people in household","7 people in household","8 or more people in household"
"NG34 9",4950,1361,2128,694,544,161,51,7,4
"NG4  1",5697,1887,1919,904,656,247,59,13,12
"NG4  2",3958,1318,1390,692,385,128,41,3,1
"NG4  3",4422,1298,1565,704,596,191,53,9,6
"NG4  4",3689,942,1426,608,509,161,27,9,7
"NG5  1",3841,1274,1260,604,427,178,73,13,12
"NG5  2",2753,1121,848,380,272,91,24,11,6
"NG5  3",2108,681,654,352,236,117,57,7,4
"NG5  4",4177,1327,1556,539,545,166,35,6,3
"NG5  5",7401,2439,2527,1212,781,304,109,21,8
"NG5  6",5313,1598,1955,805,686,210,47,9,3
"NG5  7",3259,1111,1118,511,338,143,27,6,5
"NG5  8",5021,1394,1875,837,648,173,70,17,7
"NG5  9",4131,1392,1289,771,429,182,62,4,2
"NG6  0",3984,1413,1358,599,402,141,55,13,3
"NG6  7",1979,610,669,335,248,79,28,5,5
"NG6  8",6875,2362,2313,1119,672,269,90,34,16
"NG6  9",3728,1250,1222,631,421,145,45,9,5
"NG7  1",4441,1689,1136,358,425,361,329,92,51
"NG7  2",3195,939,721,440,484,275,241,51,44
"NG7  3",2711,1451,543,274,191,141,84,18,9
"NG7  4",1902,860,510,155,135,110,78,22,32
"NG7  5",2951,957,738,457,327,227,169,48,28
"NG7  6",3332,1158,824,458,307,297,172,73,43
"NG7  7",1902,754,581,286,153,83,32,8,5
"NG8  1",3750,1123,1196,569,516,215,99,15,17
"NG8  2",4750,1458,1680,712,561,205,100,17,17
"NG8  3",4090,1407,1279,570,423,237,128,31,15
"NG8  4",3303,1089,950,502,395,219,114,23,11
"NG8  5",5174,1428,1500,1026,676,332,150,39,23
"NG8  6",4631,1297,1326,897,593,333,121,37,27
"NG9  1",4469,1462,1602,681,536,155,24,8,1
"NG9  2",5024,1593,1644,807,629,230,99,13,9
"NG9  3",4795,1235,1965,749,605,192,35,9,5
"NG9  4",2505,757,896,389,330,100,27,3,3
"NG9  5",3488,960,1381,566,425,121,29,4,2
"NG9  6",3845,916,1458,633,663,144,21,6,4
"NG9  7",2546,694,907,450,370,97,22,3,3
"NG9  8",3973,1174,1374,703,499,178,31,11,3
"NN1  1",1023,573,308,85,41,10,3,2,1
"NN1  2",1704,875,485,177,100,51,9,4,3
"NN1  3",2762,1063,834,377,261,129,64,27,7
"NN1  4",4511,1625,1404,615,525,209,82,28,23
"NN1  5",3559,1313,1186,498,391,118,37,9,7
"NN10 0",5705,1660,2078,864,754,259,70,13,7
"NN10 6",2290,530,939,369,329,88,27,5,3
"NN10 8",3285,821,1192,552,521,141,45,7,6
"NN10 9",4654,1250,1775,729,604,205,66,15,10
"NN11 0",2087,439,736,383,378,115,28,6,2
"NN11 2",576,132,278,78,60,22,4,1,1
"NN11 3",2648,715,1005,393,392,111,25,3,4
"NN11 4",5029,1571,1845,739,553,237,66,15,3
"NN11 6",1263,282,534,203,170,58,13,3,0
"NN11 7",776,188,349,121,89,23,4,1,1
"NN11 8",610,141,230,107,100,26,6,0,0
"NN11 9",2619,589,929,483,448,133,30,6,1
"NN12 6",3283,1001,1129,520,466,134,21,7,5
"NN12 7",2424,467,979,402,438,99,31,5,3
"NN12 8",3797,841,1597,593,575,145,37,3,6
"NN13 5",2187,476,852,364,362,100,26,7,0
"NN13 6",4082,1014,1388,696,714,216,46,8,0
"NN13 7",1312,391,516,197,158,41,6,3,0
"NN14 1",4120,911,1692,662,633,169,41,10,2
"NN14 2",4390,1097,1678,737,611,202,45,15,5
"NN14 3",1800,414,781,229,264,86,19,4,3
"NN14 4",4272,1008,1647,670,691,192,49,9,6
"NN14 6",3366,1038,1220,508,387,152,52,7,2
"NN15 5",6010,1459,2227,1019,933,277,66,22,7
"NN15 6",5685,1660,2107,851,766,216,66,13,6
"NN15 7",2531,742,906,388,366,92,29,8,0
"NN16 0",3486,1379,1074,483,342,144,47,10,7
"NN16 8",3646,1371,1235,488,366,124,46,8,8
"NN16 9",6041,1701,2083,1026,844,284,81,14,8
"NN17 1",4185,1311,1395,731,527,164,47,8,2
"NN17 2",5203,1496,1802,913,668,237,71,12,4
"NN17 3",1699,388,706,278,236,63,15,10,3
"NN17 4",218,41,68,51,40,13,5,0,0
"NN18 0",3748,1115,1252,691,455,165,46,16,8
"NN18 8",5521,1036,1894,1180,923,360,99,20,9
"NN18 9",3910,1124,1291,726,472,211,54,26,6
"NN2  6",4167,1599,1314,555,399,187,79,20,14
"NN2  7",5591,1776,1788,966,670,276,87,20,8
"NN2  8",5997,1598,2380,916,766,261,62,7,7
"NN29 7",4937,1313,1984,762,649,174,44,8,3
"NN3  2",4780,1493,1443,776,660,269,101,27,11
"NN3  3",3764,930,1515,516,575,166,43,18,1
"NN3  5",3699,984,1259,664,472,209,79,19,13
"NN3  6",3151,972,1316,424,288,121,26,1,3
"NN3  7",2499,701,923,407,354,91,21,1,1
"NN3  8",6209,1754,1738,1191,840,413,190,43,40
"NN3  9",3952,1053,1438,616,527,204,74,25,15
"NN4  0",4320,1018,1588,744,719,193,48,6,4
"NN4  5",1562,322,421,280,394,121,17,4,3
"NN4  6",3904,732,1205,776,862,259,58,8,4
"NN4  7",277,67,114,50,34,11,1,0,0
"NN4  8",6136,1775,2151,1040,747,294,93,26,10
"NN4  9",2270,448,867,445,362,107,27,8,6
"NN5  4",1809,568,590,293,254,66,31,7,0
"NN5  5",3275,1255,1065,482,310,101,43,13,6
"NN5  6",6938,1936,2733,1021,899,270,60,14,5
"NN5  7",4396,1492,1277,672,500,291,107,37,20
"NN6  0",3405,930,1351,515,453,115,29,7,5
"NN6  6",1270,312,493,208,184,57,13,2,1
"NN6  7",3177,779,1176,513,496,157,45,8,3
"NN6  8",2184,477,922,333,314,108,20,8,2
"NN6  9",3602,801,1340,602,600,191,62,4,2
"NN7  1",1991,483,878,253,274,76,23,4,0
"NN7  2",2761,632,1126,445,396,129,25,6,2
"NN7  3",3233,725,1386,477,428,154,50,7,6
"NN7  4",3455,878,1425,496,468,147,30,8,3
"NN8  1",3154,1131,1002,498,335,113,56,14,5
"NN8  2",4711,1456,1579,754,602,219,75,18,8
"NN8  3",5215,1584,1717,873,680,261,72,22,6
"NN8  4",4480,1501,1389,700,537,238,85,24,6
"NN8  5",3059,685,1129,536,513,160,26,9,1
"NN9  5",6424,1855,2444,993,772,256,79,15,10
"NN9  6",4639,1088,1824,795,650,202,60,19,1
"NR1  1",2859,1575,913,234,103,31,1,0,2
"NR1  2",3830,1495,1274,528,374,119,36,4,0
"NR1  3",2489,1330,801,214,95,34,13,2,0
"NR1  4",3397,1230,1231,452,303,122,46,8,5
"NR10 3",4319,1007,1710,700,659,194,42,6,1
"NR10 4",2343,613,890,367,347,93,24,8,1
"NR10 5",2538,585,1072,415,331,93,38,1,3
"NR11 6",3553,1100,1466,481,353,113,31,7,2
"NR11 7",1295,316,571,199,149,41,15,2,2
"NR11 8",3127,904,1398,362,312,104,33,13,1
"NR12 0",2046,570,971,228,187,64,21,2,3
"NR12 7",1472,420,588,218,158,69,16,2,1
"NR12 8",3059,864,1451,363,255,89,29,8,0
"NR12 9",2606,793,1076,336,295,74,22,7,3
"NR13 3",2913,778,1201,406,370,114,34,9,1
"NR13 4",2987,750,1272,437,390,109,25,4,0
"NR13 5",3155,760,1316,488,443,122,22,4,0
"NR13 6",2195,426,971,374,320,84,16,0,4
"NR14 6",3053,807,1192,458,418,142,26,6,4
"NR14 7",3477,832,1448,533,506,121,25,8,4
"NR14 8",3458,826,1464,541,454,129,35,7,2
"NR15 1",2786,594,1214,402,407,131,30,5,3
"NR15 2",3690,863,1507,543,558,157,45,14,3
"NR16 1",2247,441,986,352,339,94,31,2,2
"NR16 2",2679,694,1104,385,328,121,38,4,5
"NR17 1",2873,637,1182,490,380,127,39,11,7
"NR17 2",3738,1050,1439,560,512,121,48,6,2
"NR18 0",5416,1677,2022,770,697,195,47,7,1
"NR18 9",1830,383,716,286,299,112,30,3,1
"NR19 1",4901,1440,2002,651,562,168,63,9,6
"NR19 2",3871,1048,1436,630,534,157,50,8,8
"NR2  1",656,366,206,43,34,4,3,0,0
"NR2  2",3329,1442,1049,413,278,111,28,6,2
"NR2  3",5157,1604,1732,796,702,251,56,15,1
"NR2  4",3434,1773,1094,294,191,60,18,4,0
"NR20 3",3060,733,1296,463,381,137,38,6,6
"NR20 4",2768,647,1198,417,347,116,31,6,6
"NR20 5",2114,553,875,307,276,70,26,3,4
"NR21 0",1463,389,648,222,141,49,12,1,1
"NR21 7",1457,405,610,199,172,49,18,2,2
"NR21 8",2357,778,910,318,247,74,22,6,2
"NR21 9",1862,559,769,271,183,64,13,2,1
"NR22 6",395,149,151,43,38,8,4,1,1
"NR23 1",1485,574,580,163,120,29,18,0,1
"NR24 2",1948,555,800,265,221,69,31,3,4
"NR25 6",2578,921,1136,251,183,63,18,4,2
"NR25 7",1603,530,720,164,119,41,23,5,1
"NR26 8",3965,1379,1731,392,305,115,33,5,5
"NR27 0",2336,757,972,280,206,79,30,9,3
"NR27 9",3199,1243,1320,336,208,69,17,2,4
"NR28 0",4054,1141,1669,585,460,147,39,10,3
"NR28 9",3667,1104,1497,529,344,142,34,10,7
"NR29 3",2954,737,1211,499,370,86,44,6,1
"NR29 4",3578,907,1541,530,407,142,36,13,2
"NR29 5",2063,575,937,267,201,51,24,8,0
"NR3  1",2658,1367,824,288,132,35,9,3,0
"NR3  2",3771,1258,1129,629,491,172,71,14,7
"NR3  3",4975,2032,1658,610,432,155,66,13,9
"NR3  4",4344,1636,1634,572,371,95,30,3,3
"NR30 1",1962,712,631,301,197,80,33,4,4
"NR30 2",2432,979,683,345,221,113,70,7,14
"NR30 3",1905,655,626,259,208,101,42,8,6
"NR30 4",3084,980,1097,441,347,144,54,14,7
"NR30 5",4138,1242,1709,592,433,129,26,5,2
"NR31 0",2976,888,955,543,363,154,52,17,4
"NR31 6",3964,1345,1412,607,417,130,43,7,3
"NR31 7",4556,1315,1531,765,595,239,88,18,5
"NR31 8",5744,1573,2284,954,687,194,43,7,2
"NR31 9",4206,1087,1719,635,540,167,41,10,7
"NR32 1",1978,943,554,242,136,73,22,6,2
"NR32 2",4115,1460,1328,587,470,176,75,14,5
"NR32 3",3631,1052,1502,483,427,117,42,5,3
"NR32 4",5680,1560,2292,825,659,233,86,18,7
"NR32 5",1556,406,673,226,183,54,12,2,0
"NR33 0",3643,1354,1163,522,384,132,64,16,8
"NR33 7",4334,1380,1903,506,372,126,32,12,3
"NR33 8",5474,1220,2179,883,844,260,63,20,5
"NR33 9",3730,1118,1512,490,374,157,59,9,11
"NR34 0",956,226,421,138,126,30,11,1,3
"NR34 7",3331,819,1442,468,447,110,36,5,4
"NR34 8",1270,313,555,160,157,58,21,5,1
"NR34 9",4234,1395,1654,548,440,139,42,11,5
"NR35 1",2511,821,953,296,292,112,22,11,4
"NR35 2",2213,598,901,325,275,81,27,4,2
"NR4  6",4016,1261,1558,538,470,135,43,11,0
"NR4  7",4122,1331,1438,632,500,154,50,10,7
"NR5  0",3730,1034,1519,579,428,125,37,8,0
"NR5  8",5008,1349,1528,863,763,319,139,33,14
"NR5  9",3315,923,1143,591,408,175,56,18,1
"NR6  5",3116,886,1271,452,381,106,18,2,0
"NR6  6",3371,1013,1293,542,374,117,27,3,2
"NR6  7",4061,1061,1687,623,540,119,21,9,1
"NR7  0",5845,1671,2219,930,784,185,39,14,3
"NR7  8",4893,1378,1995,757,545,169,41,4,4
"NR7  9",3408,1231,1244,466,319,112,29,4,3
"NR8  5",1953,431,854,341,230,71,17,7,2
"NR8  6",6472,1565,2521,1057,1015,246,53,9,6
"NR9  3",3204,889,1292,468,417,113,23,2,0
"NR9  4",1997,521,840,263,266,70,29,2,6
"NR9  5",2020,455,912,314,241,71,19,4,4
"NW1  0",2915,1034,877,432,350,142,45,21,14
"NW1  1",3166,1243,770,451,393,172,85,21,31
"NW1  2",678,203,168,106,103,59,22,9,8
"NW1  3",2615,946,575,362,398,204,83,34,13
"NW1  4",1408,576,431,184,136,54,18,4,5
"NW1  5",1378,556,410,195,129,55,26,3,4
"NW1  6",2908,1370,886,366,199,65,19,2,1
"NW1  7",3051,1226,1008,371,292,108,33,8,5
"NW1  8",3831,1610,1024,499,423,173,62,25,15
"NW1  9",4266,1606,1229,594,486,206,80,42,23
"NW10 0",3817,1056,817,669,562,364,226,70,53
"NW10 1",3434,875,801,650,482,329,192,53,52
"NW10 2",3298,982,808,534,475,261,152,44,42
"NW10 3",3159,867,828,569,489,245,113,24,24
"NW10 4",3977,1351,967,680,521,268,114,36,40
"NW10 5",5535,1740,1552,1022,702,296,152,39,32
"NW10 6",1155,426,310,177,133,65,33,7,4
"NW10 7",1284,370,286,231,179,130,56,18,14
"NW10 8",5046,1724,1108,861,656,365,216,61,55
"NW10 9",3756,1230,827,684,470,275,165,54,51
"NW11 0",2155,522,538,316,301,202,151,70,55
"NW11 6",2622,816,775,422,389,165,45,9,1
"NW11 7",2215,703,711,312,306,119,50,10,4
"NW11 8",2531,719,722,411,337,189,93,22,38
"NW11 9",2389,669,568,334,289,192,173,73,91
"NW2  1",3212,934,795,540,482,268,131,37,25
"NW2  2",2883,907,775,498,415,183,69,19,17
"NW2  3",4697,1865,1397,625,488,198,89,22,13
"NW2  4",3431,1248,1006,575,360,154,50,20,18
"NW2  5",4019,1346,1050,686,495,257,123,23,39
"NW2  6",4061,1057,1021,737,609,299,206,70,62
"NW2  7",3275,646,707,537,517,394,275,101,98
"NW3  1",2262,810,744,307,285,87,25,1,3
"NW3  2",5927,2325,1792,776,652,246,92,26,18
"NW3  3",3602,1384,1018,519,402,195,57,17,10
"NW3  4",4474,2099,1381,510,339,107,29,6,3
"NW3  5",2463,931,813,319,261,97,32,4,6
"NW3  6",2711,1117,785,342,284,133,36,8,6
"NW3  7",2090,607,677,319,298,136,41,9,3
"NW4  1",2487,746,709,375,331,188,102,19,17
"NW4  2",2868,718,767,426,421,273,166,57,40
"NW4  3",3209,738,919,572,476,288,136,38,42
"NW4  4",3041,949,812,539,382,211,108,28,12
"NW5  1",3661,1236,1056,604,489,186,64,15,11
"NW5  2",4370,1721,1307,585,461,185,71,21,19
"NW5  3",1563,490,489,272,155,77,44,21,15
"NW5  4",3650,1377,936,523,454,219,93,21,27
"NW6  1",5113,1948,1638,797,522,148,38,13,9
"NW6  2",3024,1237,962,441,236,87,38,8,15
"NW6  3",3509,1278,1227,551,320,86,35,5,7
"NW6  4",3386,1367,1050,481,296,122,47,15,8
"NW6  5",4747,1992,1142,673,518,244,121,33,24
"NW6  6",3737,1285,1172,575,472,152,58,12,11
"NW6  7",5821,2291,1763,808,590,223,103,23,20
"NW7  1",2391,607,708,409,398,159,66,30,14
"NW7  2",2778,662,809,507,498,188,77,23,14
"NW7  3",2299,524,670,418,459,146,64,9,9
"NW7  4",2035,506,576,288,427,174,49,9,6
"NW8  0",3207,1179,885,448,399,194,78,13,11
"NW8  6",1885,727,562,284,187,93,24,4,4
"NW8  7",2500,1155,679,291,218,110,29,6,12
"NW8  8",4213,1562,996,591,507,276,180,56,45
"NW8  9",3358,1547,969,398,287,101,38,13,5
"NW9  0",3218,610,681,609,641,336,219,59,63
"NW9  5",5941,1758,1514,1047,832,459,223,64,44
"NW9  6",2575,589,670,414,444,232,153,44,29
"NW9  7",2588,893,655,438,328,153,81,21,19
"NW9  8",3276,727,755,560,569,373,195,57,40
"NW9  9",3236,709,714,576,620,319,206,56,36
"OL1  2",2971,962,744,347,345,208,189,106,70
"OL1  3",1675,727,434,215,153,81,39,17,9
"OL1  4",3794,1145,1098,752,526,192,64,15,2
"OL10 1",1635,699,494,214,150,57,19,0,2
"OL10 2",3021,894,1021,519,402,128,40,10,7
"OL10 3",3532,1239,1102,614,366,155,42,5,9
"OL10 4",4026,1332,1283,667,508,166,54,10,6
"OL11 1",2110,568,418,307,283,213,202,74,45
"OL11 2",4627,1640,1389,762,479,242,84,20,11
"OL11 3",3562,1155,1041,475,434,208,155,56,38
"OL11 4",2926,1082,875,348,325,157,86,28,25
"OL11 5",4826,1249,1696,783,679,267,97,41,14
"OL12 0",2135,639,641,333,284,141,68,9,20
"OL12 6",5108,1969,1456,663,490,236,181,54,59
"OL12 7",4091,1115,1397,694,604,205,52,14,10
"OL12 8",3292,1021,1173,530,387,139,33,5,4
"OL12 9",4273,1447,1305,624,493,224,111,41,28
"OL13 0",1735,647,544,267,164,88,13,9,3
"OL13 8",1870,563,600,355,240,81,27,2,2
"OL13 9",2911,860,1003,519,350,120,43,11,5
"OL14 5",2154,859,695,285,189,75,31,8,12
"OL14 6",1588,445,654,236,181,49,18,4,1
"OL14 7",1369,478,460,205,162,46,12,5,1
"OL14 8",1859,616,665,276,214,68,17,2,1
"OL15 0",1694,464,692,263,204,53,15,1,2
"OL15 8",2289,614,841,372,321,110,24,5,2
"OL15 9",2217,695,789,359,262,88,18,6,0
"OL16 1",167,92,22,15,12,10,8,5,3
"OL16 2",3424,837,837,486,476,295,279,113,101
"OL16 3",3553,963,1293,625,472,139,40,8,13
"OL16 4",4799,1370,1588,799,662,260,95,13,12
"OL16 5",2434,801,625,348,287,191,118,35,29
"OL2  5",4485,1294,1585,749,606,189,50,6,6
"OL2  6",5425,1534,1904,993,719,215,42,7,11
"OL2  7",4654,1509,1670,763,516,154,33,8,1
"OL2  8",3733,1058,1349,676,467,121,42,10,10
"OL3  5",3101,772,1202,530,448,122,20,6,1
"OL3  6",1318,460,491,159,157,38,9,4,0
"OL3  7",2063,543,794,342,288,75,20,1,0
"OL4  1",3470,742,606,477,463,427,406,162,187
"OL4  2",4126,1400,1258,737,503,180,40,7,1
"OL4  3",2629,807,913,450,335,76,35,4,9
"OL4  4",3226,798,1213,550,494,124,36,9,2
"OL4  5",3890,1285,1224,674,456,189,49,9,4
"OL5  0",2324,886,774,349,222,60,21,10,2
"OL5  9",2600,774,925,452,323,89,24,12,1
"OL6  6",2302,812,781,334,263,71,27,8,6
"OL6  7",1414,789,266,122,89,58,46,26,18
"OL6  8",4154,1194,1356,733,505,245,86,19,16
"OL6  9",4501,1414,1497,810,510,179,68,14,9
"OL7  0",2492,964,636,408,254,102,84,22,22
"OL7  9",4613,1486,1449,798,574,201,67,27,11
"OL8  1",3173,852,553,516,373,347,265,118,149
"OL8  2",3825,1234,1154,655,417,214,103,25,23
"OL8  3",4301,1285,1352,805,497,235,88,22,17
"OL8  4",2966,861,762,438,345,249,174,63,74
"OL9  0",3503,977,1115,600,540,170,73,14,14
"OL9  6",2168,653,385,217,230,233,220,91,139
"OL9  7",2414,838,597,323,265,183,115,44,49
"OL9  8",3967,1130,1319,738,504,175,70,24,7
"OL9  9",3823,1139,1283,662,508,152,57,13,9
"OX1  1",1458,756,436,144,81,29,7,1,4
"OX1  2",469,150,177,74,49,12,3,2,2
"OX1  3",255,109,71,37,28,7,2,0,1
"OX1  4",2309,830,717,312,277,101,53,13,6
"OX1  5",2486,604,956,378,380,130,29,3,6
"OX10 0",2429,784,865,316,348,90,18,4,4
"OX10 6",2416,505,928,399,427,122,27,6,2
"OX10 7",2098,555,722,338,301,133,34,10,5
"OX10 8",1288,364,417,206,208,69,16,6,2
"OX10 9",2231,523,875,342,347,104,37,1,2
"OX11 0",2209,513,870,334,360,99,23,5,5
"OX11 7",5176,1208,1779,958,935,225,54,8,9
"OX11 8",3637,1062,1177,559,570,184,61,16,8
"OX11 9",2398,633,915,338,371,102,30,3,6
"OX12 0",2515,563,972,449,403,95,23,6,4
"OX12 7",2136,524,829,306,329,107,32,9,0
"OX12 8",2025,577,736,303,274,97,28,9,1
"OX12 9",3763,1038,1423,568,507,164,51,9,3
"OX13 5",1903,400,744,313,316,99,27,1,3
"OX13 6",3074,674,1152,526,507,152,50,9,4
"OX14 1",4160,1132,1422,733,645,172,49,7,0
"OX14 2",3140,802,1121,546,490,139,31,10,1
"OX14 3",3576,1050,1324,573,454,132,32,7,4
"OX14 4",3141,760,1121,538,488,158,60,12,4
"OX14 5",4406,1441,1529,690,510,173,40,16,7
"OX15 0",1107,279,450,132,178,46,21,0,1
"OX15 4",2683,582,1100,436,417,114,27,4,3
"OX15 5",2227,552,932,313,312,93,22,1,2
"OX15 6",1366,302,606,208,169,67,10,4,0
"OX16 0",4227,1025,1283,747,698,298,117,31,28
"OX16 1",4147,951,1481,746,645,209,88,17,10
"OX16 2",1279,487,448,173,109,41,18,2,1
"OX16 3",2003,610,589,353,285,98,45,12,11
"OX16 4",1623,567,547,247,166,49,34,5,8
"OX16 5",1339,688,364,141,97,33,11,2,3
"OX16 9",4507,1153,1761,675,646,193,56,15,8
"OX17 1",1852,452,820,266,232,61,15,3,3
"OX17 2",2643,629,1013,423,414,130,28,4,2
"OX17 3",2570,632,1047,399,358,98,31,4,1
"OX18 1",2733,594,1044,512,428,113,33,6,3
"OX18 2",2309,590,891,354,327,111,29,6,1
"OX18 3",3527,845,1258,625,587,169,37,5,1
"OX18 4",1399,469,600,167,106,38,16,3,0
"OX2  0",1774,649,555,243,229,65,22,5,6
"OX2  6",3629,1430,1061,510,410,145,51,14,8
"OX2  7",3788,1449,1187,502,429,154,45,18,4
"OX2  8",2651,894,889,372,330,127,35,2,2
"OX2  9",3893,1053,1464,627,541,136,51,13,8
"OX20 1",2107,653,816,265,286,66,21,0,0
"OX25 1",633,116,291,103,85,30,6,2,0
"OX25 2",871,141,274,195,194,47,16,4,0
"OX25 3",218,48,99,28,28,11,4,0,0
"OX25 4",524,123,201,92,80,21,5,2,0
"OX25 5",739,165,313,108,109,31,10,3,0
"OX25 6",440,85,186,74,68,19,6,0,2
"OX26 1",330,86,127,58,47,9,1,1,1
"OX26 2",3531,719,1268,699,560,190,71,12,12
"OX26 3",2683,571,846,538,564,114,43,4,3
"OX26 4",2246,454,786,466,360,122,49,8,1
"OX26 5",490,110,200,78,63,29,7,3,0
"OX26 6",3937,1250,1292,601,598,141,45,8,2
"OX27 0",390,86,147,71,59,22,5,0,0
"OX27 7",823,174,320,132,133,44,12,7,1
"OX27 8",1060,229,328,214,198,65,21,4,1
"OX27 9",236,59,98,39,30,6,2,2,0
"OX28 1",3097,693,1134,530,542,152,35,7,4
"OX28 2",367,103,149,63,33,15,2,1,1
"OX28 3",1326,380,466,234,180,50,12,2,2
"OX28 4",731,267,259,82,75,29,15,4,0
"OX28 5",3628,842,1246,640,629,199,59,9,4
"OX28 6",2272,825,838,297,208,69,22,7,6
"OX29 0",578,124,239,98,89,19,7,1,1
"OX29 4",2277,618,847,351,352,86,14,7,2
"OX29 5",546,124,212,102,69,28,10,1,0
"OX29 6",1008,218,436,149,146,41,15,3,0
"OX29 7",1425,304,569,247,211,72,16,6,0
"OX29 8",2604,585,1028,391,440,131,23,4,2
"OX29 9",952,237,375,140,124,54,15,7,0
"OX3  0",3555,947,1121,605,556,224,65,22,15
"OX3  7",4487,1515,1317,638,631,238,116,21,11
"OX3  8",4912,1501,1485,816,717,256,104,23,10
"OX3  9",3679,1179,1112,599,455,221,85,13,15
"OX33 1",3146,794,1228,477,476,127,33,6,5
"OX39 4",2734,580,1033,483,479,122,31,4,2
"OX4  1",4692,1525,1190,652,732,311,205,44,33
"OX4  2",3818,1172,1132,606,473,235,107,49,44
"OX4  3",4678,1326,1339,799,688,307,140,37,42
"OX4  4",5337,1704,1669,830,657,268,123,47,39
"OX4  6",3005,869,807,580,416,229,68,15,21
"OX4  7",2210,683,582,415,333,128,49,11,9
"OX44 7",2117,414,820,334,398,113,33,4,1
"OX44 9",1169,276,468,177,180,48,15,4,1
"OX49 5",1789,467,691,251,262,90,21,5,2
"OX5  1",4822,1218,1721,837,746,214,64,11,11
"OX5  2",3508,867,1395,546,472,149,68,8,3
"OX5  3",1187,304,439,193,180,55,12,4,0
"OX7  3",2336,717,901,322,265,99,24,7,1
"OX7  4",579,153,211,88,88,32,6,1,0
"OX7  5",3478,1064,1306,520,421,121,37,5,4
"OX7  6",2602,708,1030,377,334,119,30,4,0
"OX7  7",816,190,326,136,117,36,7,1,3
"OX9  2",1484,440,549,196,205,63,22,8,1
"OX9  3",3698,890,1270,628,673,187,44,6,0
"OX9  7",409,72,176,71,62,23,3,1,1
"PE1  1",399,221,115,33,22,4,4,0,0
"PE1  2",3457,937,686,499,429,347,330,108,121
"PE1  3",5159,1566,1395,795,684,365,236,70,48
"PE1  4",5962,1824,1862,904,777,372,149,42,32
"PE1  5",3501,1125,1029,536,428,229,99,33,22
"PE10 0",4009,818,1548,769,603,196,61,10,4
"PE10 9",5074,1448,1982,770,657,154,43,15,5
"PE11 1",3601,1025,1347,591,445,125,48,15,5
"PE11 2",5510,1648,1939,894,694,217,87,24,7
"PE11 3",5510,1245,2246,943,755,240,57,16,8
"PE11 4",3523,814,1544,549,410,130,46,20,10
"PE12 0",2581,483,1193,396,343,106,48,11,1
"PE12 6",3854,791,1720,595,500,149,79,18,2
"PE12 7",3619,1067,1508,468,425,109,33,5,4
"PE12 8",1867,411,837,299,205,65,42,6,2
"PE12 9",5003,1402,2157,646,548,165,63,14,8
"PE13 1",1364,510,435,206,139,52,13,3,6
"PE13 2",3657,1196,1242,586,415,154,49,12,3
"PE13 3",4476,1241,1499,750,600,247,113,15,11
"PE13 4",2755,676,1153,402,335,128,41,13,7
"PE13 5",2510,657,1133,311,284,80,29,9,7
"PE14 0",2331,588,994,368,244,95,32,7,3
"PE14 7",2316,492,929,389,317,125,44,14,6
"PE14 8",2191,527,913,326,269,102,42,8,4
"PE14 9",1739,404,769,244,216,77,23,3,3
"PE15 0",3647,866,1523,541,494,150,62,7,4
"PE15 8",4521,1285,1773,648,534,196,61,13,11
"PE15 9",4589,1484,1765,628,500,148,47,13,4
"PE16 6",4537,1344,1690,683,562,185,52,13,8
"PE19 1",2913,887,1013,473,373,126,29,4,8
"PE19 2",4206,1211,1493,658,583,188,57,9,7
"PE19 5",2836,662,1176,400,443,123,27,3,2
"PE19 6",3173,667,1318,523,467,145,48,3,2
"PE19 7",2207,529,891,344,321,95,25,2,0
"PE19 8",3096,877,1145,515,406,117,28,5,3
"PE2  5",6302,1936,2107,992,798,306,110,33,20
"PE2  6",1128,266,437,200,167,43,14,0,1
"PE2  7",1409,363,566,216,197,53,12,1,1
"PE2  8",5879,1825,2093,975,715,198,62,10,1
"PE2  9",4366,1308,1464,773,589,165,48,15,4
"PE20 1",2802,700,1156,439,348,99,43,15,2
"PE20 2",1278,328,555,182,139,52,15,5,2
"PE20 3",1854,453,785,276,231,77,21,6,5
"PE21 0",4179,1286,1486,658,523,154,48,11,13
"PE21 6",1422,545,426,244,129,53,17,5,3
"PE21 7",3709,936,1438,623,511,136,51,9,5
"PE21 8",5057,1579,1609,831,618,269,108,15,28
"PE21 9",3835,1127,1467,575,450,153,48,10,5
"PE22 0",2489,616,1092,349,304,97,18,9,4
"PE22 7",1488,362,678,222,154,47,20,3,2
"PE22 8",1644,361,701,271,191,80,30,6,4
"PE22 9",1418,326,607,229,162,63,22,6,3
"PE23 4",1116,271,535,142,107,36,15,7,3
"PE23 5",2618,826,1043,374,244,80,33,7,11
"PE24 4",1759,456,755,246,190,68,30,10,4
"PE24 5",3693,1094,1789,429,269,84,20,7,1
"PE25 1",3229,1045,1441,387,214,95,34,10,3
"PE25 2",4123,1588,1434,558,339,123,60,15,6
"PE25 3",2490,898,866,367,242,87,21,6,3
"PE26 1",2459,752,885,370,316,100,31,4,1
"PE26 2",2442,455,1006,419,385,134,30,11,2
"PE27 3",3115,726,1196,509,488,148,31,12,5
