
"KS106EW - Adults not in employment and dependent children and persons with long-term health problems or disability for all households"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","count of Household; All households","No adults in employment in household","No adults in employment in household: With dependent children","No adults in employment in household: No dependent children","Dependent children in household: All ages","Dependent children in household: Age 0 to 4","One person in household with a long-term health problem or disability","One person in household with a long-term health problem or disability: With dependent children","One person in household with a long-term health problem or disability: No dependent children"
"TD - Galashiels",8257,3065,238,2827,1993,768,2233,300,1933
"TF - Telford",85432,27808,4197,23611,27185,10778,22829,4670,18159
"TN - Tonbridge",285861,95707,8921,86786,81703,30740,72012,12053,59959
"TQ - Torquay",125499,49869,4005,45864,30441,10804,36802,5357,31445
"TR - Truro",127727,48534,4011,44523,32371,11891,36999,5653,31346
"TS - Cleveland",256392,103418,15199,88219,77079,29855,74854,13579,61275
"TW - Twickenham",193024,50874,7542,43332,61772,27952,41456,8525,32931
"UB - Southall",127062,36023,8512,27511,49022,21954,31746,8742,23004
"W - London W",237211,65315,11371,53944,56591,26877,48266,8669,39597
"WA - Warrington",261707,89903,11299,78604,79560,30642,70561,12364,58197
"WC - London WC",15715,5612,566,5046,2307,1083,3480,476,3004
"WD - Watford",103170,27837,3326,24511,33966,13975,22900,4343,18557
"WF - Wakefield",214052,75771,9838,65933,65157,26068,60950,10999,49951
"WN - Wigan",131223,47236,6556,40680,40174,15506,38277,7029,31248
"WR - Worcester",122579,40699,3424,37275,33101,12155,30877,4791,26086
"WS - Walsall",181690,65900,9770,56130,56981,22626,52099,10282,41817
"WV - Wolverhampton",162791,61201,9447,51754,49388,19360,45851,8733,37118
"YO - York",242013,85280,6253,79027,61334,23014,61606,8572,53034
"CF - Cardiff",419936,155000,22501,132499,123668,49572,125652,23722,101930
"LD - Llandrindod Wells",22112,8058,562,7496,5382,1861,6368,830,5538
"LL - Llandudno",232718,90181,8794,81387,61594,24154,69448,10547,58901
"NP - Newport",206448,79365,10480,68885,61487,23165,63687,11365,52322
"SA - Swansea",315848,127158,14663,112495,85628,31900,101187,16797,84390



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""

