
"QS205EW - Proficiency in English"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All usual residents aged 3 and over"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","All categories: Proficiency in English","Main language is English (English or Welsh in Wales)","Main language is not English (English or Welsh in Wales): Can speak English very well","Main language is not English (English or Welsh in Wales): Can speak English well","Main language is not English (English or Welsh in Wales): Cannot speak English well","Main language is not English (English or Welsh in Wales): Cannot speak English"
"TD - Galashiels",17760,17412,112,128,93,15
"TF - Telford",203770,196531,2515,2874,1559,291
"TN - Tonbridge",657475,635668,10700,8014,2667,426
"TQ - Torquay",273344,268384,2348,1845,646,121
"TR - Truro",284888,279973,2242,1681,843,149
"TS - Cleveland",580022,566185,5188,5146,2925,578
"TW - Twickenham",468561,383451,40760,31451,10953,1946
"UB - Southall",354721,246615,41522,43916,18963,3705
"W - London W",511878,375019,68299,48924,16886,2750
"WA - Warrington",593181,580699,5428,4670,2050,334
"WC - London WC",35194,25068,5604,3216,1063,243
"WD - Watford",245158,223655,10160,8148,2776,419
"WF - Wakefield",492643,462221,10066,10956,7747,1653
"WN - Wigan",296942,290681,2194,2450,1398,219
"WR - Worcester",278259,268790,3629,3982,1603,255
"WS - Walsall",432400,410869,7087,7594,5602,1248
"WV - Wolverhampton",380963,351997,8831,11302,7347,1486
"YO - York",545229,528913,7267,6383,2311,355
"CF - Cardiff",967532,930035,15086,14019,6827,1565
"LD - Llandrindod Wells",48370,47363,376,453,135,43
"LL - Llandudno",518845,506321,4558,5243,2233,490
"NP - Newport",470894,460227,4022,4110,2151,384
"SA - Swansea",706340,689188,6693,6457,3190,812



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""

