
"KS105EW - Household composition"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","All categories: Household composition","One person household","One person household: Aged 65 and over","One person household: Other","One family household","One family only: All aged 65 and over","One family only: Married or same-sex civil partnership couple","One family only: Married or same-sex civil partnership couple: No children","One family only: Married or same-sex civil partnership couple: Dependent children","One family only: Married or same-sex civil partnership couple: All children non-dependent","One family only: Cohabiting couple","One family only: Cohabiting couple: No children","One family only: Cohabiting couple: Dependent children","One family only: Cohabiting couple: All children non-dependent","One family only: Lone parent","One family only: Lone parent: Dependent children","One family only: Lone parent: All children non-dependent","Other household types","Other household types: With dependent children","Other household types: All full-time students","Other household types: All aged 65 and over","Other household types: Other"
"CA - Carlisle",140639,44738,19695,25043,89255,13555,49859,21122,20008,8729,12935,6638,5644,653,12906,8213,4693,6646,2231,295,522,3598
"CB - Cambridge",167769,46553,19297,27256,107121,14033,62519,23633,30407,8479,18434,10853,6796,785,12135,7708,4427,14095,3529,1146,444,8976
"CH - Chester",285835,90272,39916,50356,179538,25326,94148,34834,40593,18721,26030,13219,11345,1466,34034,22527,11507,16025,5710,637,886,8792
"CM - Chelmsford",270005,74319,32926,41393,181137,24867,104044,36747,49456,17841,27333,14661,11295,1377,24893,16113,8780,14549,4780,175,661,8933
"CO - Colchester",176926,53715,25965,27750,113410,19404,60675,25184,25796,9695,16555,8750,6964,841,16776,11305,5471,9801,2942,848,642,5369
"CR - Croydon",159003,44916,16031,28885,96425,8966,50876,15013,26347,9516,13030,6459,5747,824,23553,16651,6902,17662,7444,335,423,9460
"CT - Canterbury",206231,66981,31116,35865,123961,19801,62855,26392,26694,9769,20114,10159,8960,995,21191,14543,6648,15289,4645,2313,786,7545
"CV - Coventry",341799,102243,42076,60167,213062,29261,114820,41961,52889,19970,32209,17302,13427,1480,36772,25399,11373,26494,8469,3860,887,13278
"CW - Crewe",130777,36751,16265,20486,87768,12402,49572,19436,21632,8504,13330,6772,5854,704,12464,8385,4079,6258,2247,167,304,3540
"DA - Dartford",173530,48807,21439,27368,112532,14254,60679,19035,29490,12154,17293,8163,8059,1071,20306,13388,6918,12191,5284,215,543,6149
"DE - Derby",306789,88806,38123,50683,199969,27281,108929,42636,48510,17783,33257,17522,14019,1716,30502,20480,10022,18014,6546,955,744,9769
"DH - Durham",132873,41082,17953,23129,84856,11524,45781,18780,18276,8725,13042,6248,6053,741,14509,9823,4686,6935,2125,1354,342,3114
"DL - Darlington",156929,48575,21282,27293,101320,14250,55129,23373,22492,9264,15134,7585,6790,759,16807,11710,5097,7034,2627,98,418,3891
"DN - Doncaster",320177,91796,41023,50773,209359,29358,109978,46207,44306,19465,36263,16801,17289,2173,33760,23385,10375,19022,7522,63,925,10512
"DT - Dorchester",93219,28903,14889,14014,59507,11670,32261,14831,12517,4913,8283,4420,3464,399,7293,4733,2560,4809,1503,17,352,2937
"DY - Dudley",171537,48817,22361,26456,113140,17239,60295,22164,26119,12012,17561,8452,8167,942,18045,11641,6404,9580,4165,22,532,4861
"E - London E",371209,115734,28167,87567,179185,8364,90461,23923,52992,13546,30901,19882,9778,1241,49459,34016,15443,76290,24187,4675,814,46614
"EC - London EC",16712,8144,1443,6701,6260,355,2681,1416,986,279,1717,1393,290,34,1507,1014,493,2308,270,344,37,1657
"EN - Enfield",137752,38857,16554,22303,88190,10479,47543,13654,24232,9657,11583,5649,5153,781,18585,12621,5964,10705,4463,222,351,5669
"EX - Exeter",235920,71947,35980,35967,148224,27584,79203,34770,32404,12029,22159,12337,8810,1012,19278,12508,6770,15749,4511,1460,968,8810
"FY - Blackpool",125975,45373,20442,24931,73253,12762,34994,14771,13951,6272,11573,5552,5297,724,13924,9396,4528,7349,2715,70,559,4005
"GL - Gloucester",257740,76511,34027,42484,165356,25162,92520,37703,41061,13756,26902,15279,10451,1172,20772,13254,7518,15873,4795,867,675,9536
"GU - Guildford",288291,75155,33901,41254,192649,26569,117585,41107,59397,17081,26624,15676,9667,1281,21871,13399,8472,20487,6470,1077,785,12155
"HA - Harrow",169235,39449,17915,21534,103474,11350,64519,16078,34017,14424,8520,4553,3341,626,19085,11438,7647,26312,11815,537,593,13367
"HD - Huddersfield",111708,35005,13618,21387,69807,8931,37666,14723,16990,5953,11678,6336,4757,585,11532,7997,3535,6896,2589,687,216,3404
"HG - Harrogate",59524,17597,8385,9212,38669,6001,22105,8847,10274,2984,5420,3226,1936,258,5143,3425,1718,3258,981,7,190,2080
"HP - Hemel Hempstead",195820,52611,22454,30157,129882,17110,76098,25879,38730,11489,18924,10612,7413,899,17750,11621,6129,13327,4665,404,468,7790
"HR - Hereford",75480,21980,10852,11128,48804,8339,26665,11040,11279,4346,7251,3884,2984,383,6549,4177,2372,4696,1569,44,314,2769
"HU - Hull",191829,61146,23901,37245,119660,16214,60930,24728,25210,10992,21672,10507,9954,1211,20844,14465,6379,11023,3698,1398,477,5450
"HX - Halifax",69055,22509,8644,13865,42602,4908,22575,8860,10278,3437,7692,3838,3457,397,7427,5272,2155,3944,1708,25,144,2067
"IG - Ilford",119693,30294,12065,18229,72906,6791,43101,10216,24399,8486,7138,3416,3236,486,15876,11028,4848,16493,8129,653,319,7392
"IP - Ipswich",252903,72187,33849,38338,167293,27106,92343,38715,39996,13632,25992,14022,10740,1230,21852,14588,7264,13423,4586,57,805,7975
"KT - Kingston upon Thames",215019,60096,26742,33354,137819,17766,83403,26381,44285,12737,19120,11401,6862,857,17530,10755,6775,17104,5152,1488,586,9878
"L - Liverpool",370832,131047,47791,83256,210822,24573,99352,32182,42565,24605,31087,15202,13839,2046,55810,36159,19651,28963,9144,3879,1420,14520
"LA - Lancaster",143130,46971,21509,25462,88290,14712,47321,20729,19005,7587,13488,7180,5667,641,12769,8629,4140,7869,2257,889,484,4239
"LE - Leicester",391690,109625,45629,63996,249871,33120,140557,50655,65343,24559,37868,19975,15941,1952,38326,25357,12969,32194,12015,4251,883,15045
"LN - Lincoln",126445,37244,17096,20148,81972,14141,44121,20200,17659,6262,13003,7315,5156,532,10707,7234,3473,7229,2107,715,420,3987
"LS - Leeds",330485,109761,40334,69427,193162,23964,99973,37983,46220,15770,34196,19979,12773,1444,35029,24459,10570,27562,7281,4920,727,14634
"LU - Luton",129087,34818,13398,21420,81392,8918,45793,14662,23246,7885,11954,6092,5197,665,14727,10046,4681,12877,5628,915,290,6044
"M - Manchester",492832,168407,55321,113086,273456,25479,128527,43444,61876,23207,53618,29427,21512,2679,65832,45675,20157,50969,14128,7219,1183,28439
"ME - Medway",245899,65702,28078,37624,164208,20113,89343,32991,41001,15351,27819,13655,12722,1442,26933,18589,8344,15989,5957,597,631,8804
"MK - Milton Keynes",202910,53632,20787,32845,133938,14441,77023,27508,37803,11712,20890,11202,8678,1010,21584,14980,6604,15340,5880,557,370,8533
"N - London N",345384,111589,29528,82061,178473,11057,86378,25093,46965,14320,32632,22325,9207,1100,48406,33238,15168,55322,13832,2340,853,38297
"NE - Newcastle upon Tyne",510129,166952,68649,98303,311387,40592,162108,64426,67570,30112,50526,26173,21493,2860,58161,39003,19158,31790,9416,4941,1288,16145
"NG - Nottingham",493006,149812,60223,89589,307651,41540,160435,64085,69798,26552,53356,27962,22581,2813,52320,36246,16074,35543,10495,5510,1145,18393
"NN - Northampton",272410,76351,29340,47011,178396,21552,97401,38301,44495,14605,30819,16551,12866,1402,28624,20180,8444,17663,6263,594,599,10207
"NR - Norwich",315586,95362,45808,49554,201731,35572,104358,46082,41848,16428,34009,18229,14124,1656,27792,18629,9163,18493,5113,1482,1120,10778
"NW - London NW",221382,74824,20997,53827,107834,7499,56257,15861,31600,8796,17294,12168,4453,673,26784,17482,9302,38724,10704,2492,755,24773
"OL - Oldham",188327,58677,22935,35742,116817,12217,60670,21376,28674,10620,19887,8781,9838,1268,24043,16785,7258,12833,6646,64,312,5811
"OX - Oxford",242290,66403,27689,38714,155621,20970,89776,32905,43264,13607,24194,14353,8781,1060,20681,13572,7109,20266,5331,1956,624,12355
"PE - Peterborough",372974,102471,48597,53874,244937,39312,133326,56850,56244,20232,39420,20735,16763,1922,32879,22246,10633,25566,9858,85,1242,14381
"PL - Plymouth",232030,69453,30972,38481,147100,22595,78701,33918,32221,12562,24034,12840,10145,1049,21770,14542,7228,15477,4417,1820,837,8403
"PO - Portsmouth",352381,108137,51376,56761,218074,35426,112947,46304,48727,17916,34228,18301,14200,1727,35473,24201,11272,26170,7385,3321,1363,14101
"PR - Preston",219457,66688,28632,38056,139767,19656,76298,29135,33360,13803,21063,10876,9119,1068,22750,14974,7776,13002,4657,910,636,6799
"RG - Reading",314494,83851,32354,51497,207982,24756,123819,44767,61397,17655,31657,18860,11540,1257,27750,18467,9283,22661,7264,1036,653,13708
"RH - Redhill",217383,60296,26615,33681,142847,19148,84477,30017,41627,12833,20953,12014,7978,961,18269,11516,6753,14240,4686,50,563,8941
"RM - Romford",205198,57801,24814,32987,130820,14290,68993,20365,34278,14350,19351,8529,9564,1258,28186,19460,8726,16577,7671,164,597,8145
"S - Sheffield",578166,175854,75244,100610,365589,50144,190348,75534,81181,33633,64515,32728,28453,3334,60582,41524,19058,36723,11981,5714,1318,17710
"SE - London SE",412616,140008,34099,105909,208727,11102,92705,29877,48809,14019,42261,25712,14853,1696,62659,44796,17863,63881,19138,3579,919,40245
"SG - Stevenage",167378,47052,19699,27353,111683,13925,64289,23123,31188,9978,17995,9749,7435,811,15474,10304,5170,8643,3080,47,346,5170
"SK - Stockport",260660,81407,34928,46479,166811,22670,90187,33354,40751,16082,26081,13499,11228,1354,27873,18330,9543,12442,4919,106,610,6807
"SL - Slough",144701,40541,15828,24713,90759,10711,54401,16795,28922,8684,11783,6611,4610,562,13864,9025,4839,13401,5857,130,314,7100
"SM - Sutton",87844,26110,10629,15481,54699,6027,31420,9436,16303,5681,7922,4172,3299,451,9330,5969,3361,7035,2730,54,265,3986
"SN - Swindon",191326,53149,21492,31657,127172,16491,73554,28666,34510,10378,19926,11032,8025,869,17201,11927,5274,11005,3705,67,465,6768
"SO - Southampton",276203,81101,35053,46048,172746,25285,96581,37620,44115,14846,26708,15538,9901,1269,24172,16222,7950,22356,5783,3490,787,12296
"SP - Salisbury",94762,25179,12326,12853,63909,9683,37062,14978,17003,5081,8974,5052,3515,407,8190,5500,2690,5674,1740,12,315,3607
"SR - Sunderland",109601,35758,15533,20225,67599,8910,33793,12387,13559,7847,10501,4669,5095,737,14395,9388,5007,6244,2454,734,287,2769
"SS - Southend-on-Sea",216695,62813,28886,33927,140446,20111,75377,27056,33750,14571,22403,10998,10102,1303,22555,14424,8131,13436,5063,105,727,7541
"ST - Stoke-on-Trent",275550,84435,35777,48658,176396,25336,94961,37784,39655,17522,28256,13750,13045,1461,27843,18570,9273,14719,5324,1564,709,7122
"SW - London SW",381866,135065,33230,101835,178390,10083,91063,32876,47448,10739,39297,30587,7807,903,37947,24781,13166,68411,11758,2894,895,52864
"SY - Shrewsbury",144748,43500,20677,22823,92579,15453,50423,20731,21158,8534,14368,7595,6158,615,12335,7648,4687,8669,2596,897,585,4591
"TA - Taunton",139322,41641,21483,20158,89862,16168,48455,21270,19889,7296,13672,7274,5762,636,11567,7626,3941,7819,2438,54,574,4753
"TD - Galashiels",8257,2581,1270,1311,5314,916,2848,1420,1028,400,802,428,355,19,748,470,278,362,140,1,35,186
"TF - Telford",85432,21738,9520,12218,57968,6997,31729,12409,13989,5331,9829,4800,4541,488,9413,6376,3037,5726,2271,194,222,3039
"TN - Tonbridge",285861,83765,39693,44072,185656,29092,102936,39724,47442,15770,27931,14888,11669,1374,25697,16863,8834,16440,5713,96,992,9639
"TQ - Torquay",125499,40831,20454,20377,77299,14457,39756,18021,15708,6027,11433,6227,4654,552,11653,7740,3913,7369,2332,30,566,4441
"TR - Truro",127727,39520,19277,20243,79411,13198,41742,18104,16999,6639,13007,7087,5312,608,11464,7432,4032,8796,2621,702,538,4935
"TS - Cleveland",256392,77741,34029,43712,164675,21321,84373,32407,35628,16338,26130,11909,12577,1644,32851,23028,9823,13976,5828,920,660,6568
"TW - Twickenham",193024,55682,20969,34713,114885,10935,66748,20126,35213,11409,17322,10215,6226,881,19880,12553,7327,22457,7765,1319,523,12850
"UB - Southall",127062,30550,12060,18490,75397,6099,43224,10125,23668,9431,8037,3702,3720,615,18037,11909,6128,21115,9706,1017,310,10082
"W - London W",237211,92310,22280,70030,108230,6180,56445,20016,29488,6941,21179,16217,4320,642,24426,15638,8788,36671,7100,2392,641,26538
"WA - Warrington",261707,76583,32183,44400,172613,21803,93354,34210,41792,17352,26709,13168,12044,1497,30747,20772,9975,12511,4927,88,582,6914
"WC - London WC",15715,7965,1787,6178,4990,320,2159,960,903,296,1193,979,182,32,1318,864,454,2760,354,801,37,1568
"WD - Watford",103170,30157,11913,18244,65246,7451,37677,11136,20139,6402,9372,5047,3824,501,10746,7018,3728,7767,2976,79,251,4461
"WF - Wakefield",214052,62597,26437,36160,139798,17364,75316,29206,32798,13312,23993,11709,10944,1340,23125,15997,7128,11657,5408,32,401,5816
"WN - Wigan",131223,38072,15487,22585,86859,10757,45402,16756,19179,9467,14331,6245,7232,854,16369,11001,5368,6292,2753,29,303,3207
"WR - Worcester",122579,35435,16593,18842,80064,13150,43996,18032,19042,6922,12162,6793,4806,563,10756,7000,3756,7080,2247,359,370,4104
"WS - Walsall",181690,49738,22565,27173,120373,16217,64287,22862,28522,12903,19904,8941,9809,1154,19965,13001,6964,11579,5641,61,460,5417
"WV - Wolverhampton",162791,49355,21184,28171,101818,13903,52698,17864,23529,11305,15008,6853,7241,914,20209,13268,6941,11618,5328,287,478,5525
"YO - York",242013,71950,34051,37899,154936,25665,84697,37448,34421,12828,24412,13927,9418,1067,20162,13318,6844,15127,4146,2002,769,8210
"CF - Cardiff",419936,126773,51126,75647,261432,31893,136270,49498,59870,26902,42450,20929,19261,2260,50819,34485,16334,31731,10001,4065,1265,16400
"LD - Llandrindod Wells",22112,7105,3571,3534,13830,2588,7244,3220,2873,1151,2043,1068,884,91,1955,1230,725,1177,393,1,116,667
"LL - Llandudno",232718,75561,35908,39653,143637,23147,74017,29936,30513,13568,22663,10473,11072,1118,23810,15229,8581,13520,4769,923,848,6980
"NP - Newport",206448,60887,28066,32821,133991,18394,70472,26207,30301,13964,20287,9204,9898,1185,24838,16595,8243,11570,4684,326,646,5914
"SA - Swansea",315848,99601,45342,54259,196590,29932,102753,40322,42171,20260,27835,13487,12924,1424,36070,23873,12197,19657,6633,1888,1206,9930



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""

